,frame_count,emotion_index,gaze_yaw,gaze_pitch,au_shape_dim1,au_shape_dim2,au_shape_dim3,au_shape_dim4,au_shape_dim5,au_shape_dim6,au_shape_dim7,au_shape_dim8,mp_pose_yaw_deg,mp_pose_pitch_deg,mp_pose_roll_deg,detection_result,bs__neutral,bs_browDownLeft,bs_browDownRight,bs_browInnerUp,bs_browOuterUpLeft,bs_browOuterUpRight,bs_cheekPuff,bs_cheekSquintLeft,bs_cheekSquintRight,bs_eyeBlinkLeft,bs_eyeBlinkRight,bs_eyeLookDownLeft,bs_eyeLookDownRight,bs_eyeLookInLeft,bs_eyeLookInRight,bs_eyeLookOutLeft,bs_eyeLookOutRight,bs_eyeLookUpLeft,bs_eyeLookUpRight,bs_eyeSquintLeft,bs_eyeSquintRight,bs_eyeWideLeft,bs_eyeWideRight,bs_jawForward,bs_jawLeft,bs_jawOpen,bs_jawRight,bs_mouthClose,bs_mouthDimpleLeft,bs_mouthDimpleRight,bs_mouthFrownLeft,bs_mouthFrownRight,bs_mouthFunnel,bs_mouthLeft,bs_mouthLowerDownLeft,bs_mouthLowerDownRight,bs_mouthPressLeft,bs_mouthPressRight,bs_mouthPucker,bs_mouthRight,bs_mouthRollLower,bs_mouthRollUpper,bs_mouthShrugLower,bs_mouthShrugUpper,bs_mouthSmileLeft,bs_mouthSmileRight,bs_mouthStretchLeft,bs_mouthStretchRight,bs_mouthUpperUpLeft,bs_mouthUpperUpRight,bs_noseSneerLeft,bs_noseSneerRight
0,0,0,-0.27352566,-0.010256813,0.0,0.0,0.04551532,0.0,0.0,0.0,0.74811494,0.0,0.318200113308812,4.350760820055381,-1.4165470959079014,Extracted Data,7.708227371949761e-07,0.006217829417437315,0.00767052685841918,0.07289595901966095,0.23657329380512238,0.07705225050449371,1.952236743818503e-05,2.6192168434135965e-07,1.2806539473331213e-07,0.3362523317337036,0.30460187792778015,0.4264623522758484,0.39902403950691223,0.09648701548576355,0.04569215700030327,0.050778187811374664,0.09685327857732773,0.025853056460618973,0.01892348937690258,0.6982789039611816,0.4640452563762665,0.002642231062054634,0.0009542824700474739,7.383772026514634e-05,0.0026220809668302536,0.16571421921253204,0.001045527751557529,0.0452437698841095,0.0015687369741499424,0.0012790828477591276,3.351119448780082e-05,8.176815754268318e-05,0.024036049842834473,0.0010888628894463181,0.0019696748349815607,0.001763585489243269,0.0008511728956364095,0.004090312868356705,0.4489896297454834,0.0016782430466264486,0.012140214443206787,0.020364215597510338,0.0013412277912721038,0.0030370804015547037,1.3711775864067022e-05,2.6303978302166797e-05,2.625876550155226e-05,0.0019445180660113692,7.152424223022535e-05,8.24204325908795e-05,7.592573751935561e-07,4.6716633050891687e-07
1,1,5,-0.25737765,0.00082202256,0.0,0.0,0.12530309,0.0,0.011354944,0.0013851675,0.9721125,0.012309109,0.7211699747928518,4.380913526002143,-1.355055308411644,Extracted Data,6.861406518510194e-07,0.004351908806711435,0.005810730159282684,0.07147906720638275,0.2700689136981964,0.08130186051130295,1.9084021914750338e-05,2.293948568876658e-07,1.4235955347885465e-07,0.34576544165611267,0.27562329173088074,0.3810184597969055,0.36231863498687744,0.11536905169487,0.0382075272500515,0.04457618296146393,0.10740351676940918,0.026684513315558434,0.023150086402893066,0.6078929901123047,0.46700936555862427,0.0022695644292980433,0.0010837672743946314,7.266712782438844e-05,0.00318447919562459,0.17435768246650696,0.0009025834151543677,0.04370720684528351,0.0026275136042386293,0.00157467823009938,2.095124546031002e-05,4.7630746848881245e-05,0.021451719105243683,0.0012258599745109677,0.0019953742157667875,0.0020301444455981255,0.0014972976641729474,0.004886590410023928,0.330953449010849,0.001485358108766377,0.013805689290165901,0.026590496301651,0.001403392176143825,0.003138299100100994,1.7618376659811474e-05,2.845570088538807e-05,2.704759936023038e-05,0.0011481242254376411,7.207279850263149e-05,7.935243047541007e-05,6.515309678434278e-07,3.8221770637392183e-07
2,2,0,-0.28103688,-0.033176053,0.0,0.0,0.068101525,0.0,0.0030926906,0.0016912372,0.9386914,0.025526963,0.613801872767207,4.33302099824866,-0.6973793814977473,Extracted Data,5.619295961878379e-07,0.004231773782521486,0.007607766427099705,0.06117318943142891,0.2644754946231842,0.07068238407373428,1.780911406967789e-05,1.8076553942592e-07,1.3302921786362276e-07,0.27825772762298584,0.2170122116804123,0.378833532333374,0.3588491976261139,0.10620956867933273,0.04139942303299904,0.046378713101148605,0.10143738985061646,0.027827804908156395,0.02316378988325596,0.5997433662414551,0.48632165789604187,0.003188688773661852,0.0015637223841622472,7.348629151238129e-05,0.004811426158994436,0.18013371527194977,0.0006537028821185231,0.04754231125116348,0.002334497170522809,0.001709793577902019,1.3420152754406445e-05,2.9116492441971786e-05,0.02447335049510002,0.002553842030465603,0.00199001538567245,0.0017685629427433014,0.001339682494290173,0.005640309303998947,0.36787402629852295,0.0007121049566194415,0.01302444189786911,0.03227623552083969,0.0011328828986734152,0.0023525734432041645,1.5093984984559938e-05,2.4988643417600542e-05,2.34951021411689e-05,0.0007854810100980103,4.900093699689023e-05,6.0171001678099856e-05,5.254817097011255e-07,3.3335555826852215e-07
3,3,2,-0.2711107,0.04284125,0.0,0.0,0.053106852,0.0,0.0,0.0,0.8962562,0.004103531,0.4825018995592172,4.102200457643985,-0.7365422395028499,Extracted Data,6.263812224460708e-07,0.004973054397851229,0.011126136407256126,0.0347268208861351,0.29298120737075806,0.06245671957731247,1.6042014976846986e-05,2.627994035719894e-07,1.4544936277616216e-07,0.23768243193626404,0.18734005093574524,0.39856860041618347,0.3765197694301605,0.08147363364696503,0.04798758029937744,0.05995282903313637,0.08275406807661057,0.023954225704073906,0.02001713588833809,0.5138012766838074,0.4997592866420746,0.0037830432411283255,0.0020905528217554092,6.246453995117918e-05,0.0035171641502529383,0.16759131848812103,0.0006741940742358565,0.043347060680389404,0.0017867974238470197,0.001463790307752788,2.2700611225445755e-05,5.0982311222469434e-05,0.025867771357297897,0.001597439986653626,0.001800616504624486,0.0014673022087663412,0.0012841859133914113,0.0053082737140357494,0.414615660905838,0.0013779489090666175,0.01314891129732132,0.02583419717848301,0.001532633905299008,0.0038988187443464994,1.3934929484094027e-05,2.20889451156836e-05,3.1656429200666025e-05,0.0010493062436580658,7.77102104621008e-05,9.8540993349161e-05,6.037595312591293e-07,4.288999662094284e-07
4,4,5,-0.31046727,0.01321657,0.0,0.0,0.46691832,0.0,0.0071377954,0.0,0.80699325,0.001700828,0.46728388385145364,4.090704480837597,-0.6658706180222846,Extracted Data,6.722421517224575e-07,0.0034147414844483137,0.00669292313978076,0.042467352002859116,0.3618411123752594,0.08211049437522888,1.6551250155316666e-05,3.2173412023439596e-07,1.4731664066403027e-07,0.21418091654777527,0.16428802907466888,0.31254392862319946,0.3116595149040222,0.04662938043475151,0.0717364177107811,0.08899324387311935,0.06067481264472008,0.031064916402101517,0.02725541964173317,0.4919623136520386,0.4962783753871918,0.004034494515508413,0.00264041218906641,5.4589534556725994e-05,0.0030492364894598722,0.16856546700000763,0.000801471178419888,0.0381903350353241,0.0015679089119657874,0.0018147072987630963,2.5381446903338656e-05,5.302084537106566e-05,0.02116292715072632,0.0012234504101797938,0.001768138725310564,0.001399383065290749,0.0013809726806357503,0.006387673318386078,0.3803313970565796,0.001974509796127677,0.018427763134241104,0.031180988997220993,0.002546347677707672,0.005775653291493654,1.079530829883879e-05,1.69042050401913e-05,2.753256558207795e-05,0.0007655256777070463,7.855579315219074e-05,0.00010974074393743649,5.986977953398309e-07,4.400821751460171e-07
5,5,2,-0.28491974,0.07313144,0.0,0.0,0.7162271,0.0,0.00024080834,0.0,0.79042494,0.0,0.6252886300601629,3.959235008298565,-1.229969766720606,Extracted Data,7.658299523427559e-07,0.004522219300270081,0.008816982619464397,0.04375350475311279,0.3031187355518341,0.06890584528446198,1.529190194560215e-05,3.4505907819948334e-07,1.4591658725748857e-07,0.20659035444259644,0.16646890342235565,0.2629273533821106,0.26603737473487854,0.048866916447877884,0.07222333550453186,0.08563587814569473,0.059493593871593475,0.0378156378865242,0.034660644829273224,0.49116504192352295,0.5082046389579773,0.004091514740139246,0.0025604641996324062,5.3510968427872285e-05,0.0021824866998940706,0.1578184813261032,0.0009622025536373258,0.038405757397413254,0.0012896097032353282,0.0015896281693130732,3.4013526601484045e-05,7.296891271835193e-05,0.023254292085766792,0.001102397800423205,0.001745496061630547,0.0013237877283245325,0.001167789101600647,0.006163243670016527,0.4007772207260132,0.0020539332181215286,0.016803724691271782,0.026335058733820915,0.0023892701137810946,0.005902887787669897,1.1054694368795026e-05,1.9522422007867135e-05,3.13283599098213e-05,0.0010807563085108995,7.61621558922343e-05,0.0001163594497484155,6.156618042041373e-07,4.5161579009800334e-07
6,6,2,-0.28266335,0.027339805,0.0,0.0,0.6772016,0.0,0.0,0.0,0.7391898,0.00073026866,0.667913479572105,3.7278578883709272,-1.4695295913679132,Extracted Data,7.163403665799706e-07,0.005602638702839613,0.010224925354123116,0.04070179909467697,0.2452695369720459,0.06434059888124466,1.678571425145492e-05,2.762357951269223e-07,1.390200310424916e-07,0.23056717216968536,0.1863497495651245,0.27103811502456665,0.27716881036758423,0.055459119379520416,0.06412339210510254,0.08056316524744034,0.06780058890581131,0.038423456251621246,0.034083232283592224,0.5617926120758057,0.5004457831382751,0.0037573606241494417,0.002033701865002513,6.031934390193783e-05,0.0025511274579912424,0.17926600575447083,0.0009273430332541466,0.043463338166475296,0.0016434508142992854,0.0016760140424594283,2.8349200874799863e-05,5.964684169157408e-05,0.022337254136800766,0.0012912123929709196,0.0017495345091447234,0.001481644925661385,0.0012336141662672162,0.005503605119884014,0.3643295466899872,0.0015598825411871076,0.013618234544992447,0.026121394708752632,0.0017795092426240444,0.004214683081954718,1.3893780305807013e-05,2.323531407455448e-05,3.2685620681149885e-05,0.0009741445537656546,6.997238233452663e-05,0.00010034090519184247,5.617597480522818e-07,4.306648690999282e-07
7,7,5,-0.31153464,0.02948023,0.0,0.0,0.5560502,0.0,0.0,0.0,0.7594106,0.0,0.629783482910175,3.876979733457166,-1.2480724080724988,Extracted Data,8.147148946591187e-07,0.007010885048657656,0.012590080499649048,0.03235167637467384,0.23021359741687775,0.059091851115226746,1.4250180356611963e-05,3.492770588309213e-07,1.4422843719330558e-07,0.2195170372724533,0.20312030613422394,0.3141781687736511,0.3069782853126526,0.046359747648239136,0.0740453377366066,0.08766487240791321,0.059632446616888046,0.034204475581645966,0.02828131429851055,0.5126779079437256,0.5158829689025879,0.004071051720529795,0.0020581460557878017,5.401767703006044e-05,0.0027303278911858797,0.16673186421394348,0.0008546537137590349,0.03861698880791664,0.0010558199137449265,0.0011169352801516652,5.532924842555076e-05,0.00013186971773393452,0.027392271906137466,0.0015447601908817887,0.0016764608444646,0.001247278181836009,0.0007226642337627709,0.004381300415843725,0.5195661783218384,0.0013079586206004024,0.014562542550265789,0.022674797102808952,0.0022988824639469385,0.005837204400449991,7.800006642355584e-06,1.3946655599283986e-05,2.8864495106972754e-05,0.001531916786916554,8.16199099062942e-05,0.00013256426609586924,7.048633392514603e-07,5.345586373550759e-07
8,8,5,-0.27250206,0.00021776557,0.0,0.0,0.9869768,0.0,0.0038606434,0.0,0.95695764,0.0024226075,0.9293326108070312,4.125979136418901,-0.38814559058618897,Extracted Data,8.340026624864549e-07,0.007347533944994211,0.011413754895329475,0.023682739585638046,0.2769096791744232,0.07232300192117691,1.615839937585406e-05,3.474127083791245e-07,1.4711208962125966e-07,0.19375349581241608,0.14216656982898712,0.2917827367782593,0.30000942945480347,0.03672853857278824,0.08282575756311417,0.10758744180202484,0.057285964488983154,0.03560464084148407,0.028506848961114883,0.5362874269485474,0.5007012486457825,0.004939801525324583,0.003087864024564624,5.5252421589102596e-05,0.0030371928587555885,0.15078088641166687,0.0006056576385162771,0.041008394211530685,0.0007240005070343614,0.0014261574251577258,5.8555851865094155e-05,0.0001158398954430595,0.02147563174366951,0.0012590386904776096,0.0016880943439900875,0.001089970814064145,0.0010775908594951034,0.007521394640207291,0.3849889039993286,0.0016075944295153022,0.015531597658991814,0.02095339074730873,0.002691809320822358,0.006184989120811224,1.2709881048067473e-05,2.4554014089517295e-05,4.6903522161301225e-05,0.0013371329987421632,7.277136319316924e-05,0.0001442840730305761,5.547482260226388e-07,5.764107982031419e-07
9,9,5,-0.27643237,0.054345034,0.0,0.0,0.9979584,0.0098450715,0.018451149,0.0,0.95762074,0.016425155,0.9843837983108306,4.863201056320726,-0.8721648950125941,Extracted Data,1.1226165952393785e-06,0.012170548550784588,0.02131727524101734,0.01263365987688303,0.23894812166690826,0.06224771961569786,1.764984153851401e-05,4.1886661961143545e-07,1.5434825684224052e-07,0.2372044175863266,0.1739514321088791,0.37181100249290466,0.3657332956790924,0.046234894543886185,0.06671226769685745,0.09410396963357925,0.0720544382929802,0.0270218662917614,0.02044478803873062,0.5225448608398438,0.4802410304546356,0.004263255745172501,0.002202457981184125,5.618036084342748e-05,0.001689982251264155,0.16519708931446075,0.0009950309759005904,0.04570752754807472,0.0006877891719341278,0.0009420535061508417,0.00010440131154609844,0.00023334778961725533,0.028852609917521477,0.0010480987839400768,0.001235461444593966,0.0008430228917859495,0.0009946271311491728,0.005914811510592699,0.33344969153404236,0.001635115360841155,0.011284291744232178,0.015046155080199242,0.0026478602085262537,0.00850288849323988,2.5018689484568313e-05,5.1183891628170386e-05,7.385286153294146e-05,0.0028660576790571213,0.00017437682254239917,0.00031879518064670265,5.415751047621598e-07,7.75025000621099e-07
