,frame_count,emotion_index,gaze_yaw,gaze_pitch,au_shape_dim1,au_shape_dim2,au_shape_dim3,au_shape_dim4,au_shape_dim5,au_shape_dim6,au_shape_dim7,au_shape_dim8,mp_pose_yaw_deg,mp_pose_pitch_deg,mp_pose_roll_deg,detection_result,bs__neutral,bs_browDownLeft,bs_browDownRight,bs_browInnerUp,bs_browOuterUpLeft,bs_browOuterUpRight,bs_cheekPuff,bs_cheekSquintLeft,bs_cheekSquintRight,bs_eyeBlinkLeft,bs_eyeBlinkRight,bs_eyeLookDownLeft,bs_eyeLookDownRight,bs_eyeLookInLeft,bs_eyeLookInRight,bs_eyeLookOutLeft,bs_eyeLookOutRight,bs_eyeLookUpLeft,bs_eyeLookUpRight,bs_eyeSquintLeft,bs_eyeSquintRight,bs_eyeWideLeft,bs_eyeWideRight,bs_jawForward,bs_jawLeft,bs_jawOpen,bs_jawRight,bs_mouthClose,bs_mouthDimpleLeft,bs_mouthDimpleRight,bs_mouthFrownLeft,bs_mouthFrownRight,bs_mouthFunnel,bs_mouthLeft,bs_mouthLowerDownLeft,bs_mouthLowerDownRight,bs_mouthPressLeft,bs_mouthPressRight,bs_mouthPucker,bs_mouthRight,bs_mouthRollLower,bs_mouthRollUpper,bs_mouthShrugLower,bs_mouthShrugUpper,bs_mouthSmileLeft,bs_mouthSmileRight,bs_mouthStretchLeft,bs_mouthStretchRight,bs_mouthUpperUpLeft,bs_mouthUpperUpRight,bs_noseSneerLeft,bs_noseSneerRight
0,0,0,-0.270986,-0.03524517,0.0,0.0,0.0,0.0,0.0,0.0,0.0018126264,0.0,-4.24634815716767,5.261748500429727,1.3729102270487215,Extracted Data,7.852892167647951e-07,0.0035997817758470774,0.004000301007181406,0.09597830474376678,0.4042139947414398,0.14116039872169495,7.810626811988186e-06,1.685833126430225e-07,9.135199263710092e-08,0.2332027107477188,0.1152358278632164,0.4704032838344574,0.4347662627696991,0.16732840240001678,0.02111686021089554,0.029873479157686234,0.15274089574813843,0.01518620178103447,0.012749341316521168,0.38981589674949646,0.3128896951675415,0.0038668520282953978,0.0029888604767620564,2.440779462631326e-05,0.001163932727649808,0.00975924264639616,6.950804527150467e-05,0.006267383694648743,0.0010469097178429365,0.0023098124656826258,0.0002677042502909899,0.00045627940562553704,0.000840750231873244,0.0025232371408492327,0.0001637180394027382,7.188048039097339e-05,0.013824659399688244,0.09011830389499664,0.02285601571202278,0.0005026815924793482,0.009394009597599506,0.004991357680410147,0.025074733421206474,0.009099523536860943,0.0004128629807382822,0.0008840477094054222,0.0004326429625507444,0.006185593083500862,4.5159868022892624e-05,7.769776129862294e-05,6.606175588785845e-07,5.028936129747308e-07
1,1,0,-0.27435628,0.0030150702,0.0,0.0,4.802881e-05,0.0,0.0,0.0,0.003223293,0.0,-4.315869433811112,5.034919203932691,0.15906469389897956,Extracted Data,1.1170833431606297e-06,0.0046513881534338,0.005380164831876755,0.08687299489974976,0.3770294189453125,0.12607979774475098,7.256250228238059e-06,2.650108967827691e-07,1.062709316101973e-07,0.22591643035411835,0.10879448801279068,0.45780348777770996,0.42143553495407104,0.14882078766822815,0.024086695164442062,0.03368541598320007,0.13811856508255005,0.016571994870901108,0.013746282085776329,0.4026821255683899,0.29444801807403564,0.004182138480246067,0.00327673158608377,2.1893652956350707e-05,0.0010705168824642897,0.008951680734753609,7.182593253673986e-05,0.00584414042532444,0.0005608451319858432,0.0014925317373126745,0.0009795116493478417,0.0017763355281203985,0.0008620297303423285,0.001871858723461628,0.0001415083243045956,5.814552787342109e-05,0.008160018362104893,0.07053301483392715,0.031311485916376114,0.0005708407843485475,0.010610646568238735,0.003366325981914997,0.03947287052869797,0.016484446823596954,0.0002963713195640594,0.0007163730333559215,0.000563573557883501,0.01281503401696682,6.717712676618248e-05,0.00012780854012817144,8.484097406835645e-07,7.155804269132204e-07
2,2,0,-0.28135416,-0.014661976,0.0,0.0,0.0,0.0,0.0,0.0,0.0012435904,0.0,-4.160325472816358,5.37552560015821,1.195979301501824,Extracted Data,1.027069060910435e-06,0.002877825405448675,0.004006000701338053,0.10391996055841446,0.47393789887428284,0.14839398860931396,7.514777735195821e-06,2.5716252594065736e-07,1.2547286587505369e-07,0.21735292673110962,0.0954195037484169,0.47710731625556946,0.4396970272064209,0.16887952387332916,0.021076945587992668,0.029394099488854408,0.15721836686134338,0.014155561104416847,0.012859533540904522,0.3816961348056793,0.3092847168445587,0.004172315821051598,0.003764369525015354,2.2563493985217065e-05,0.0011587742483243346,0.00939326360821724,6.0977385146543384e-05,0.0060689449310302734,0.0008342470973730087,0.0012349036987870932,0.0009819327387958765,0.0016928388504311442,0.0007325341575779021,0.0026498266961425543,0.00012893466919194907,6.771114567527547e-05,0.013361557386815548,0.06548483669757843,0.027865661308169365,0.000389878056012094,0.01352694258093834,0.0039025319274514914,0.04505135118961334,0.01193177979439497,0.00028418799047358334,0.0005072361091151834,0.0006829173071309924,0.00953913014382124,5.8037727285409346e-05,9.365119331050664e-05,7.533251391578233e-07,6.71196062285162e-07
3,3,0,-0.26420212,-0.019940376,0.0,0.0,0.0,0.0,0.0,0.0,0.0017439846,0.0,-4.188707872015124,5.079100223588749,0.6559486764863764,Extracted Data,1.1169491926921182e-06,0.004332165699452162,0.0053535522893071175,0.062383852899074554,0.4262959659099579,0.14570418000221252,8.351779797521885e-06,2.4675011900399113e-07,1.227274708526238e-07,0.2201223373413086,0.09680834412574768,0.461760014295578,0.42369264364242554,0.15767857432365417,0.02309645712375641,0.031035542488098145,0.14759781956672668,0.01587590016424656,0.013312195427715778,0.4006848931312561,0.2719117999076843,0.004348160699009895,0.0036102146841585636,2.2609565348830074e-05,0.0011134190717712045,0.011735742911696434,7.874899893067777e-05,0.008053918369114399,0.0006026294431649148,0.0013379520969465375,0.001059208414517343,0.0017854491015896201,0.0007854274590499699,0.002167310332879424,0.00015017653640825301,7.277025724761188e-05,0.011150469072163105,0.07092783600091934,0.03127717971801758,0.00046406060573644936,0.01457598153501749,0.004232423380017281,0.039238642901182175,0.011498747393488884,0.00023563676222693175,0.0004836512671317905,0.0006545934011228383,0.009997989051043987,4.6603992814198136e-05,8.745428203837946e-05,7.191145527940535e-07,6.806147325733036e-07
4,4,0,-0.26762602,-0.057634737,0.0,0.0,0.0,0.0,0.0,0.0,0.0017215525,0.0,-4.432205201062323,5.186113148548298,0.34704529095606035,Extracted Data,1.3002041896470473e-06,0.0036238643806427717,0.005076139234006405,0.08862698823213577,0.4295431077480316,0.1277269870042801,7.346840902755503e-06,3.1043191484059207e-07,1.370410416257073e-07,0.21826834976673126,0.09251978993415833,0.46834415197372437,0.4310792088508606,0.13187406957149506,0.02717769518494606,0.037799663841724396,0.1242843046784401,0.015415170229971409,0.013419280759990215,0.41357749700546265,0.28439468145370483,0.0044456054456532,0.0037935543805360794,2.0173725715721957e-05,0.0013050027191638947,0.011636745184659958,7.401622133329511e-05,0.007604059763252735,0.0005352062871679664,0.0012540281750261784,0.0015653729205951095,0.0028414183761924505,0.0006380931590683758,0.0025357783306390047,0.00013729884813074023,6.0061509429942816e-05,0.009814297780394554,0.07421837747097015,0.02824774943292141,0.0003854558744933456,0.01943323016166687,0.004783602897077799,0.06730452924966812,0.01628909446299076,0.00016391971439588815,0.00034726865123957396,0.0005653138505294919,0.012187172658741474,5.208748916629702e-05,9.956127178156748e-05,7.575923746117041e-07,7.74036720940785e-07
5,5,2,-0.27736014,-0.117782794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.484362499879773,4.892974973949801,-0.19258612467704087,Extracted Data,1.3343815226107836e-06,0.0018604756332933903,0.0031827648635953665,0.12581269443035126,0.5098272562026978,0.14663676917552948,6.751031378371408e-06,3.71403700683004e-07,1.3282156885452423e-07,0.2092214822769165,0.1177823469042778,0.43554744124412537,0.39267697930336,0.06622225046157837,0.057435594499111176,0.06515853852033615,0.07045972347259521,0.019664717838168144,0.016424886882305145,0.4315759837627411,0.3370954692363739,0.004703311249613762,0.0031284450087696314,1.8527456632000394e-05,0.0014114744262769818,0.012125086039304733,8.391094161197543e-05,0.0072148647159338,0.0003339683753438294,0.001192976487800479,0.0032641650177538395,0.005590545013546944,0.0005630081286653876,0.00198527448810637,0.00012490681547205895,5.035461435909383e-05,0.006636457983404398,0.06723601371049881,0.034018684178590775,0.0004616947553586215,0.027147987857460976,0.005254014860838652,0.10286488384008408,0.01900741271674633,8.409935253439471e-05,0.00019032039563171566,0.0006299663800746202,0.012919827364385128,3.764969369512983e-05,9.515143028693274e-05,8.041250225687691e-07,6.895787123539776e-07
6,6,2,-0.2706301,-0.15323406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.501363951113017,4.838425022882847,-0.631730660211278,Extracted Data,1.4810242419116548e-06,0.0016407342627644539,0.003636176697909832,0.12645496428012848,0.5342866778373718,0.13964428007602692,6.427637799788499e-06,4.5522992309088295e-07,1.359271379897109e-07,0.1946869045495987,0.10620534420013428,0.40974539518356323,0.37264469265937805,0.06311076879501343,0.05989064276218414,0.0669737309217453,0.0675799548625946,0.020766496658325195,0.018007289618253708,0.4108496606349945,0.307149738073349,0.0052099269814789295,0.0034945732913911343,1.57038593897596e-05,0.001323892385698855,0.011510271579027176,9.127109660767019e-05,0.0063032410107553005,0.00022544815146829933,0.0011203382164239883,0.006094652693718672,0.009882827289402485,0.0005383735988289118,0.001886036479845643,0.00011868425644934177,4.3064534111181274e-05,0.005468164570629597,0.06630175560712814,0.03985118493437767,0.0005012001493014395,0.03467569127678871,0.005177637562155724,0.15771131217479706,0.02773430570960045,5.472807970363647e-05,0.00012400050763972104,0.0007011322886683047,0.01129154022783041,4.297710256651044e-05,0.00012082625471521169,8.804246931504167e-07,7.280312956936541e-07
7,7,2,-0.24374235,-0.14382449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.685177588615555,5.057855947834485,-2.327255076064425,Extracted Data,2.114311428158544e-06,0.002256873995065689,0.0034794651437550783,0.1470637172460556,0.4402862787246704,0.11727999895811081,5.982525181025267e-06,7.626703677487967e-07,1.4119136437784618e-07,0.21078871190547943,0.15488021075725555,0.3841591477394104,0.3575662672519684,0.05795733258128166,0.06542682647705078,0.0739939734339714,0.06625720113515854,0.025781206786632538,0.020457394421100616,0.41114479303359985,0.33799412846565247,0.004695881623774767,0.0026050026062875986,1.8763412299449556e-05,0.0013881028862670064,0.008467529900372028,7.295994146261364e-05,0.004104998428374529,0.00019514368614181876,0.0007056419271975756,0.022177815437316895,0.040832653641700745,0.0006876977276988328,0.0015873510856181383,0.00011308363173156977,4.042414002469741e-05,0.003545552957803011,0.03625660389661789,0.05474211275577545,0.0004968366120010614,0.030249347910284996,0.0031529550906270742,0.20883043110370636,0.06115083768963814,5.355885878088884e-05,0.00011590000940486789,0.001152676297351718,0.028653863817453384,0.00010285681491950527,0.00027688051341101527,1.485210873397591e-06,9.706751598059782e-07
8,8,2,-0.2585503,-0.13164598,0.0,0.0,0.08590388,0.0,0.0,0.0,0.0,0.0,-4.646650074683297,4.924038190134483,-3.2523650759932856,Extracted Data,2.2450026335718576e-06,0.002333765383809805,0.0035759296733886003,0.16455118358135223,0.41002097725868225,0.11223605275154114,5.576802323048469e-06,8.415488537139026e-07,1.4033263084911596e-07,0.19250382483005524,0.14911292493343353,0.3618718981742859,0.3373677730560303,0.059935063123703,0.06658274680376053,0.0712917223572731,0.06483392417430878,0.027057776227593422,0.022534925490617752,0.41448915004730225,0.351777583360672,0.0048835380002856255,0.0028016597498208284,1.1869506124639884e-05,0.001701078494079411,0.010455052368342876,7.381075556622818e-05,0.00391037855297327,0.00016832422988954931,0.0007409892859868705,0.036853011697530746,0.06142577528953552,0.0005119913257658482,0.00159952521789819,0.0001022814103635028,3.544243372743949e-05,0.0025854958221316338,0.02615293301641941,0.061864107847213745,0.00048812085879035294,0.04802440479397774,0.00460917130112648,0.38026124238967896,0.08893400430679321,2.548012707848102e-05,4.745886690216139e-05,0.001046914723701775,0.01499885506927967,0.00012328768207225949,0.0003733081102836877,1.2680782219831599e-06,8.876990023054532e-07
9,9,2,-0.25029737,-0.1331185,0.0,0.0,0.9980467,0.0,0.0,0.0,0.0,0.0,-5.062848682764623,4.807995925270176,-1.9377694041215459,Extracted Data,1.417734893038869e-06,0.00277368794195354,0.0045728241093456745,0.17432956397533417,0.40149474143981934,0.11262783408164978,4.589089257933665e-06,5.934865612289286e-07,9.191600014446522e-08,0.18309183418750763,0.1611049324274063,0.3930860161781311,0.37971025705337524,0.06373501569032669,0.058682527393102646,0.0702197477221489,0.07800711691379547,0.02396678552031517,0.018051952123641968,0.4609348773956299,0.3358113467693329,0.005288214888423681,0.0025775027461349964,6.677390047116205e-06,0.002444208599627018,0.016044849529862404,0.00010759869473986328,0.007385403383523226,0.00010395774734206498,0.0007319396245293319,0.008384130895137787,0.010531456209719181,0.0007456796593032777,0.0016052923165261745,8.02042632130906e-05,2.4496759579051286e-05,0.0013483139919117093,0.013222585432231426,0.2563268840312958,0.0011161708971485496,0.05867411568760872,0.006960448808968067,0.3998872637748718,0.06189536675810814,5.571449037233833e-06,8.016328138182871e-06,0.0004924829117953777,0.0018662846414372325,6.204664532560855e-05,0.00023208395577967167,8.344545676663984e-07,4.3463950305522303e-07
