,frame_count,emotion_index,gaze_yaw,gaze_pitch,au_shape_dim1,au_shape_dim2,au_shape_dim3,au_shape_dim4,au_shape_dim5,au_shape_dim6,au_shape_dim7,au_shape_dim8,mp_pose_yaw_deg,mp_pose_pitch_deg,mp_pose_roll_deg,detection_result,bs__neutral,bs_browDownLeft,bs_browDownRight,bs_browInnerUp,bs_browOuterUpLeft,bs_browOuterUpRight,bs_cheekPuff,bs_cheekSquintLeft,bs_cheekSquintRight,bs_eyeBlinkLeft,bs_eyeBlinkRight,bs_eyeLookDownLeft,bs_eyeLookDownRight,bs_eyeLookInLeft,bs_eyeLookInRight,bs_eyeLookOutLeft,bs_eyeLookOutRight,bs_eyeLookUpLeft,bs_eyeLookUpRight,bs_eyeSquintLeft,bs_eyeSquintRight,bs_eyeWideLeft,bs_eyeWideRight,bs_jawForward,bs_jawLeft,bs_jawOpen,bs_jawRight,bs_mouthClose,bs_mouthDimpleLeft,bs_mouthDimpleRight,bs_mouthFrownLeft,bs_mouthFrownRight,bs_mouthFunnel,bs_mouthLeft,bs_mouthLowerDownLeft,bs_mouthLowerDownRight,bs_mouthPressLeft,bs_mouthPressRight,bs_mouthPucker,bs_mouthRight,bs_mouthRollLower,bs_mouthRollUpper,bs_mouthShrugLower,bs_mouthShrugUpper,bs_mouthSmileLeft,bs_mouthSmileRight,bs_mouthStretchLeft,bs_mouthStretchRight,bs_mouthUpperUpLeft,bs_mouthUpperUpRight,bs_noseSneerLeft,bs_noseSneerRight
0,0,3,-0.13673599,-0.022395741,0.020952035,0.02902297,0.0,0.00034747325,0.0,0.0022956885,0.015695063,0.006332516,0.7200140919528488,2.727266045008388,-0.009454377498429969,Extracted Data,9.30013925426465e-07,0.005150599870830774,0.003970328718423843,0.11216875165700912,0.3303082585334778,0.15347915887832642,8.100779268715996e-06,1.269302316586618e-07,2.0559036784106866e-07,0.043028924614191055,0.013875791803002357,0.17539334297180176,0.18189862370491028,0.024802980944514275,0.12228871136903763,0.12328298389911652,0.03111582063138485,0.048566777259111404,0.042650386691093445,0.3650034964084625,0.08046088367700577,0.016988692805171013,0.024147124961018562,2.7615555154625326e-05,0.0011182453017681837,0.00860767811536789,5.558229531743564e-05,0.004183846525847912,0.0011362506775185466,0.0022865813225507736,0.00013428022793959826,0.00026788117247633636,0.0015139668248593807,0.0027329130098223686,0.00025062868371605873,0.0001520295481896028,0.008610840886831284,0.04952700808644295,0.06455421447753906,0.0007522075902670622,0.008397767320275307,0.005726561415940523,0.013969384133815765,0.009598499163985252,0.00012287548452150077,0.00030377108487300575,0.00015458581037819386,0.006330426782369614,3.49441179423593e-05,7.371313404291868e-05,1.3438367432172527e-06,4.474457853120839e-07
1,1,3,-0.08051208,-0.002080361,0.021654427,0.026861796,0.0,6.0145343e-05,0.0,0.0017038255,0.056382217,0.0031473376,1.0307232109258435,2.0297181042272063,-1.038658944423959,Extracted Data,6.273180019888969e-07,0.0004893423756584525,0.0003914864209946245,0.36356231570243835,0.6192343831062317,0.3733554482460022,1.0780751836136915e-05,2.563510577147099e-07,2.435964461255935e-07,0.03811820223927498,0.010502364486455917,0.26973068714141846,0.25098085403442383,0.025405753403902054,0.15954071283340454,0.16018778085708618,0.017884433269500732,0.032956935465335846,0.0267720315605402,0.2807750403881073,0.05642237886786461,0.020944945514202118,0.03389903903007507,4.607481605489738e-05,0.00098450540099293,0.013730536215007305,0.00014863978140056133,0.004098632838577032,0.0007136128260754049,0.002096580108627677,0.00018199435726273805,0.00030075424001552165,0.004003127105534077,0.003637137357145548,0.0006130090332590044,0.000421443663071841,0.004998308606445789,0.03559194877743721,0.10110265761613846,0.0006960525061003864,0.009087136015295982,0.0067863501608371735,0.008216195739805698,0.014977951534092426,7.32953631086275e-05,0.00017548436881043017,0.00016088466509245336,0.0037350370548665524,8.729864202905446e-05,0.00017706917424220592,1.9022849073735415e-06,3.247653523885674e-07
2,2,3,-0.17689285,0.045859236,0.059937626,0.22248562,0.001529233,0.0,0.0,0.005219592,0.9522453,0.17693606,0.6569361727560888,2.757884568640523,-3.5276556691163714,Extracted Data,5.315379780768126e-07,0.00018252390145789832,0.00011169333447469398,0.5650800466537476,0.6834181547164917,0.4848801791667938,2.7575977583182976e-05,4.899242753708677e-07,3.116055893315206e-07,0.04042251035571098,0.010279280133545399,0.3253796696662903,0.29432857036590576,0.042483553290367126,0.10453774780035019,0.09375178813934326,0.029602739959955215,0.02452109567821026,0.01859874837100506,0.1937486082315445,0.045479584485292435,0.020699063315987587,0.035096924751996994,8.403906394960359e-05,0.0063247340731322765,0.12710615992546082,0.0002806232078000903,0.009628258645534515,0.0008952688076533377,0.004075647797435522,4.778165020979941e-05,7.584449485875666e-05,0.0218664538115263,0.011073351837694645,0.007045394275337458,0.004173066932708025,0.002400763100013137,0.029729755595326424,0.1806463748216629,0.00023290103126782924,0.025559986010193825,0.026963086798787117,0.00549353426322341,0.02292737551033497,2.381061676715035e-05,4.754194014822133e-05,4.6625958930235356e-05,0.0007257634424604475,0.0005850905436091125,0.0009952313266694546,1.279447133128997e-06,3.1727938676340273e-07
3,3,3,-0.19691426,-0.02063686,0.30184615,0.1670117,0.011277355,0.0,0.0,0.0,0.978309,0.8285413,0.730735120527989,3.1495588713229283,-4.04688267683115,Extracted Data,2.825857166044443e-07,0.0003431725490372628,0.00015600601909682155,0.31248655915260315,0.6971921920776367,0.5475502014160156,4.1208433685824275e-05,2.6388056539872196e-07,3.83523428126864e-07,0.029090940952301025,0.0061647891998291016,0.44989776611328125,0.43630480766296387,0.06106669455766678,0.08795472979545593,0.07561582326889038,0.0392790362238884,0.017967958003282547,0.010078982450067997,0.19983504712581635,0.02523915097117424,0.03420667350292206,0.0604349784553051,0.00012193367001600564,0.007694900967180729,0.4479900300502777,0.002202069154009223,0.015405872836709023,0.005894223228096962,0.015881987288594246,5.733031230192864e-06,1.016779788187705e-05,0.06946608424186707,0.003116277512162924,0.011910811997950077,0.008792790584266186,0.0031358981505036354,0.022859685122966766,0.29384639859199524,0.0008534711669199169,0.007558904122561216,0.023040281608700752,0.0010548819554969668,0.0032911188900470734,4.4248361518839374e-05,8.475784852635115e-05,1.968499600479845e-05,0.00037442136090248823,0.0001251436915481463,0.00016509348643012345,1.4608232277169009e-06,3.513490582918166e-07
4,4,3,-0.18058121,0.03758723,0.65883565,0.8247277,0.0,0.0,0.0,0.0,0.9288625,0.9043497,0.8605747126716066,3.5987925717115186,-5.219052516108881,Extracted Data,2.9108974786140607e-07,8.890356548363343e-05,3.531052789185196e-05,0.5550190806388855,0.8228229880332947,0.7184774279594421,8.703721687197685e-05,4.932791739520326e-07,5.430403007267159e-07,0.04384269192814827,0.012307223863899708,0.5336484313011169,0.5198245048522949,0.06423453986644745,0.10136987268924713,0.08546766638755798,0.03694046288728714,0.014668360352516174,0.0071463133208453655,0.22367332875728607,0.03780034929513931,0.025763003155589104,0.04093756899237633,0.00021413463400676847,0.007702664006501436,0.6041949391365051,0.004276887979358435,0.01206100545823574,0.019596781581640244,0.05068961903452873,1.2822935786971357e-05,2.1285452021402307e-05,0.11056870222091675,0.002057418692857027,0.020406220108270645,0.0181961078196764,0.00498579628765583,0.029403941705822945,0.20320281386375427,0.0010785793419927359,0.0053232330828905106,0.011309423483908176,0.001200334751047194,0.0035407415125519037,0.0002622795582283288,0.00044144073035568,5.174839679966681e-05,0.00045160067384131253,0.00023546045122202486,0.0003189997805748135,2.051287083304487e-06,5.613778739643749e-07
5,5,3,-0.17569584,0.003176061,0.6758199,0.91583717,0.0,0.0,0.0,0.0,0.98231393,0.95035875,0.954585543677271,3.411614025602257,-6.810483439324686,Extracted Data,3.101141032857413e-07,3.7366728065535426e-05,1.7631822629482485e-05,0.7704545259475708,0.8917585611343384,0.8265801668167114,5.776011312264018e-05,9.651699883761466e-07,8.506352742188028e-07,0.02581796981394291,0.010276718996465206,0.5011587142944336,0.5006866455078125,0.07883544266223907,0.10273706167936325,0.07548066228628159,0.03577617555856705,0.016679853200912476,0.009236126206815243,0.1201014593243599,0.04952838644385338,0.035693325102329254,0.07091615349054337,0.0001457275648135692,0.005848072934895754,0.668818473815918,0.00563003309071064,0.0054101599380373955,0.088932104408741,0.05527014285326004,1.872140637715347e-05,3.216913319192827e-05,0.32555994391441345,0.00267032696865499,0.011180792935192585,0.014220052398741245,0.0027489210478961468,0.005595528520643711,0.5677902698516846,0.0013078327756375074,0.005824122577905655,0.006141097750514746,0.0022809121292084455,0.007093579974025488,0.00024448419571854174,0.00024360536190215498,4.55711196991615e-05,0.00027572011458687484,0.000818801112473011,0.0008060409454628825,1.9138069546897896e-06,4.858233637605736e-07
6,6,3,-0.13295808,0.035862084,0.3154017,0.8880343,0.0,0.0,0.0,0.0,0.9823445,0.9321499,0.7361385216733408,3.57833852479229,-7.541717204033068,Extracted Data,2.0021421676119644e-07,3.145436130580492e-05,1.8265563994646072e-05,0.8330854177474976,0.9146208167076111,0.842201828956604,9.445704199606553e-05,9.304477543992107e-07,7.813681008883577e-07,0.022775236517190933,0.008747722953557968,0.494269996881485,0.49433204531669617,0.12015876919031143,0.08799091726541519,0.04299326241016388,0.05864742770791054,0.019608527421951294,0.010372580960392952,0.1360616236925125,0.042132534086704254,0.04611654207110405,0.09371118247509003,0.0001926936092786491,0.007987643592059612,0.8308157324790955,0.00973961316049099,0.002843793947249651,0.1527792066335678,0.3051612377166748,7.981534508871846e-06,1.1085215191997122e-05,0.31942686438560486,0.001825630897656083,0.04296843335032463,0.03306986019015312,0.0019352674717083573,0.008940590545535088,0.5812851190567017,0.0031358134001493454,0.004088780377060175,0.005828538443893194,0.001494477386586368,0.007348142564296722,0.00020843463425990194,0.0002851204772014171,2.6555393560556695e-05,0.00012194483861094341,0.0008331532008014619,0.0013912871945649385,2.5704537165438524e-06,4.744887291963096e-07
7,7,3,-0.16905868,-0.09364176,0.9639945,0.97639704,0.0,0.0,0.0,0.0,0.95416397,0.64566934,0.01952640663720268,4.269118779391233,-6.925123569447681,Extracted Data,1.8045773231278872e-07,4.338737562648021e-05,2.029066854447592e-05,0.8197614550590515,0.9216582775115967,0.8212834000587463,5.6130716984625906e-05,1.362181137665175e-06,3.8213715924939606e-07,0.02881692908704281,0.012961292639374733,0.4707149863243103,0.48107120394706726,0.08858752250671387,0.09527359902858734,0.06268392503261566,0.05400671809911728,0.02195349521934986,0.010878006927669048,0.19988207519054413,0.0651545524597168,0.03452126309275627,0.07226729393005371,9.528153896098956e-05,0.0009976641740649939,0.8377999067306519,0.0435364656150341,0.002584099303930998,0.09099719673395157,0.13710077106952667,1.6641910406178795e-05,2.1851956262253225e-05,0.3112301826477051,0.0023083467967808247,0.014397219754755497,0.013206722214818,0.0008987971232272685,0.0037101528141647577,0.7853353023529053,0.0032325428910553455,0.005948683246970177,0.0034049865789711475,0.002942710882052779,0.008900162763893604,8.432637696387246e-05,8.782015356700867e-05,3.05732901324518e-05,9.523230255581439e-05,0.00045697082532569766,0.000725079036783427,1.8756401232167264e-06,3.012889351339254e-07
8,8,3,-0.17775404,-0.02685326,0.94945085,0.9819503,0.0,0.0,0.0,0.0,0.927608,0.95208275,0.2708685518599624,4.943529920285917,-5.893958882735606,Extracted Data,1.938692975045342e-07,6.260134250624105e-05,3.4716922527877614e-05,0.7421302795410156,0.9266359210014343,0.8282901048660278,3.8255042454693466e-05,1.4607842331315624e-06,2.8462855539146403e-07,0.015045322477817535,0.015743574127554893,0.48873192071914673,0.5122106075286865,0.08466218411922455,0.10416363924741745,0.06582523882389069,0.052684906870126724,0.019854703918099403,0.008233951404690742,0.12353143841028214,0.06282291561365128,0.05743959918618202,0.06696154177188873,5.1869050366804004e-05,0.0006158312899060547,0.8693932294845581,0.06326593458652496,0.0017821801593527198,0.08729091286659241,0.09889869391918182,2.6222380256513134e-05,3.985704097431153e-05,0.2643320858478546,0.0022164401598274708,0.009229261428117752,0.006640825420618057,0.000373478455003351,0.0023582219146192074,0.8466725945472717,0.004903879482299089,0.007345068734139204,0.0022256888914853334,0.006368112284690142,0.026140648871660233,3.995289807789959e-05,4.831384285353124e-05,1.7704358469927683e-05,0.0001234480005223304,0.0008376520127058029,0.0016242676647379994,2.1518487756111426e-06,2.854840772670286e-07
9,9,3,-0.1748173,-0.067344464,0.9555924,0.98383707,0.0,0.0,0.0001626736,0.0,0.93679136,0.9672476,0.17079403332055068,3.9689156289061858,-6.652988500611118,Extracted Data,2.1638844316385075e-07,3.54783478542231e-05,2.0666404452640563e-05,0.8347479104995728,0.9274542331695557,0.8520013093948364,8.711219561519101e-05,2.6216014248348074e-06,4.6805510578451504e-07,0.022041888907551765,0.008706958033144474,0.5061100125312805,0.507646918296814,0.12458798289299011,0.08592385798692703,0.04099016264081001,0.06469864398241043,0.019044939428567886,0.011684967204928398,0.11287949234247208,0.054321419447660446,0.0420740582048893,0.12081697583198547,0.00012995535507798195,0.00043063730117864907,0.8916182518005371,0.11030424386262894,0.0016555112088099122,0.11949750781059265,0.15058672428131104,6.979006138863042e-05,8.803194214124233e-05,0.30529478192329407,0.00201430288143456,0.027830058708786964,0.025904692709445953,0.0011617462150752544,0.0038803566712886095,0.6396438479423523,0.0022600761149078608,0.006558560766279697,0.002382973674684763,0.0036113157402724028,0.021622588858008385,0.00024201352789532393,0.00024384215066675097,7.211226329673082e-05,0.00014926785661373287,0.0011651435634121299,0.0020000373478978872,1.9601914118538843e-06,4.6228058181441156e-07
