,frame_count,emotion_index,gaze_yaw,gaze_pitch,au_shape_dim1,au_shape_dim2,au_shape_dim3,au_shape_dim4,au_shape_dim5,au_shape_dim6,au_shape_dim7,au_shape_dim8,mp_pose_yaw_deg,mp_pose_pitch_deg,mp_pose_roll_deg,detection_result,bs__neutral,bs_browDownLeft,bs_browDownRight,bs_browInnerUp,bs_browOuterUpLeft,bs_browOuterUpRight,bs_cheekPuff,bs_cheekSquintLeft,bs_cheekSquintRight,bs_eyeBlinkLeft,bs_eyeBlinkRight,bs_eyeLookDownLeft,bs_eyeLookDownRight,bs_eyeLookInLeft,bs_eyeLookInRight,bs_eyeLookOutLeft,bs_eyeLookOutRight,bs_eyeLookUpLeft,bs_eyeLookUpRight,bs_eyeSquintLeft,bs_eyeSquintRight,bs_eyeWideLeft,bs_eyeWideRight,bs_jawForward,bs_jawLeft,bs_jawOpen,bs_jawRight,bs_mouthClose,bs_mouthDimpleLeft,bs_mouthDimpleRight,bs_mouthFrownLeft,bs_mouthFrownRight,bs_mouthFunnel,bs_mouthLeft,bs_mouthLowerDownLeft,bs_mouthLowerDownRight,bs_mouthPressLeft,bs_mouthPressRight,bs_mouthPucker,bs_mouthRight,bs_mouthRollLower,bs_mouthRollUpper,bs_mouthShrugLower,bs_mouthShrugUpper,bs_mouthSmileLeft,bs_mouthSmileRight,bs_mouthStretchLeft,bs_mouthStretchRight,bs_mouthUpperUpLeft,bs_mouthUpperUpRight,bs_noseSneerLeft,bs_noseSneerRight
0,0,0,-0.1318818,-0.095961064,0.05957652,0.060874335,0.023276016,0.0,0.0,0.0,0.41923583,0.40203825,-14.457076468777556,0.8500961493546075,-2.2684160401883133,Extracted Data,2.9071015887893736e-06,0.08953510969877243,0.04059926047921181,0.002971316920593381,0.07131496071815491,0.07442381978034973,6.575121915375348e-06,9.708242032502312e-07,1.737629560238929e-07,0.09951101988554001,0.06930191814899445,0.20081280171871185,0.21989615261554718,0.022737914696335793,0.15254977345466614,0.15757231414318085,0.021239129826426506,0.042076416313648224,0.03527071699500084,0.48129114508628845,0.35798439383506775,0.009611299261450768,0.0059612467885017395,2.5021983674378134e-05,0.0024727173149585724,0.017601560801267624,0.00016342621529474854,0.003294062800705433,0.0009545334614813328,0.0004210578044876456,0.0019933017902076244,0.0029530441388487816,0.06921391189098358,0.0010884145740419626,0.00031087061506696045,0.00028558194753713906,0.001398476306349039,0.0011455881176516414,0.8516616821289062,0.0013833815464749932,0.017295943573117256,0.0025381736923009157,0.05380051210522652,0.10479587316513062,1.3379939446167555e-05,7.080877821863396e-06,0.00046972167911008,0.0009724345873109996,0.0009763833950273693,0.0013068221742287278,1.3928996622780687e-06,7.036067017907044e-07
1,1,0,-0.10974819,-0.05668483,0.034955874,0.025338065,0.021377042,0.0,0.0,0.0,0.03934585,0.25448,-14.404520105733175,0.812805686066831,-2.6121060530483926,Extracted Data,3.8229500205488876e-06,0.10531903058290482,0.050865836441516876,0.0044408258982002735,0.06146911531686783,0.05985456332564354,7.765411282889545e-06,1.4422970480154618e-06,2.0980908743695181e-07,0.09055804461240768,0.052824895828962326,0.17192065715789795,0.193941131234169,0.02307935804128647,0.12714435160160065,0.12981979548931122,0.03423258289694786,0.04877691715955734,0.04360823333263397,0.479748010635376,0.33647170662879944,0.010351886972784996,0.00795822311192751,2.685873187147081e-05,0.0031619679648429155,0.02743256278336048,0.0001771095412550494,0.005131702870130539,0.0006854775710962713,0.0004403226776048541,0.003484759945422411,0.0049558826722204685,0.07342789322137833,0.001032862113788724,0.00035889240098185837,0.0002738997573032975,0.0011624874314293265,0.0012403351720422506,0.8474072813987732,0.001344679039902985,0.02428903430700302,0.0026571659836918116,0.060195934027433395,0.10739745199680328,1.2918826541863382e-05,7.5385719355836045e-06,0.0005912739434279501,0.001165051944553852,0.0007959229405969381,0.0011941135162487626,1.084045152310864e-06,9.959909448298276e-07
2,2,0,-0.08753793,-0.01720269,0.054842062,0.0409453,0.03976591,0.0,0.0,0.0,0.050230358,0.1994732,-14.444465360693762,0.3320134049534652,-2.858249565577301,Extracted Data,3.0120470455585746e-06,0.09359284490346909,0.03692429140210152,0.00699133425951004,0.07391420006752014,0.0839981660246849,6.796664820285514e-06,9.65241724770749e-07,1.7945409069852758e-07,0.0944104716181755,0.05785302817821503,0.176443412899971,0.20428167283535004,0.013109039515256882,0.18624535202980042,0.19442488253116608,0.0246515404433012,0.04767199978232384,0.04044017940759659,0.4468061327934265,0.30710357427597046,0.010121536441147327,0.007789575029164553,2.4659822884132154e-05,0.0027420343831181526,0.01992901973426342,0.0001523761311545968,0.004573360551148653,0.0008606656920164824,0.0004530643636826426,0.0017482651164755225,0.0023398830089718103,0.07779198884963989,0.0014384194510057569,0.000259307271335274,0.0002218502340838313,0.0009943196782842278,0.0008392095915041864,0.8978962302207947,0.0013685659505426884,0.01723400503396988,0.002464352175593376,0.05414881557226181,0.09053997695446014,1.3297863006300759e-05,6.978375495236833e-06,0.0004511985753197223,0.0006990082911215723,0.0007392143015749753,0.0010440080659464002,1.114465931095765e-06,7.632240794919198e-07
3,3,0,-0.108328536,-0.052476276,0.050530866,0.042745996,0.025987558,0.0,0.0,0.0,0.0778103,0.21365203,-14.507034595630316,0.38729079018368356,-2.7475845897807134,Extracted Data,2.4909988951549167e-06,0.09243696182966232,0.03558701276779175,0.007862113416194916,0.08076053857803345,0.09227480739355087,6.588893938896945e-06,7.614015089529858e-07,1.7841472299551242e-07,0.08855593949556351,0.0510999858379364,0.18228405714035034,0.2090214043855667,0.013207517564296722,0.17838279902935028,0.19277897477149963,0.02619950845837593,0.04465079680085182,0.03728378564119339,0.4341236650943756,0.27059924602508545,0.010536267422139645,0.00891527347266674,2.1927857233094983e-05,0.0030844577122479677,0.02163219079375267,0.0001485772809246555,0.005682449322193861,0.0010824353666976094,0.0006197941256687045,0.0007949357386678457,0.0010056855389848351,0.07649046927690506,0.0012027689954265952,0.00022712454665452242,0.00021031519281677902,0.0009956288849934936,0.0008050090400502086,0.9173699021339417,0.002293635858222842,0.01849415898323059,0.0030049702618271112,0.04758815839886665,0.0637662336230278,1.0897433639911469e-05,5.544062332774047e-06,0.0003089345118496567,0.0004194101202301681,0.0004741344600915909,0.0006715667550452054,9.490217394159117e-07,6.068304969630844e-07
4,4,0,-0.10576718,-0.042688996,0.067633465,0.053391576,0.036475483,0.0,0.0,0.0,0.08333795,0.2384161,-14.48223865956551,0.3938848507200025,-2.041923298809955,Extracted Data,3.3442559015384177e-06,0.08186547458171844,0.029000964015722275,0.009192368015646935,0.08839241415262222,0.09369727969169617,7.833312338334508e-06,9.66523998613411e-07,2.44126937332112e-07,0.0912478119134903,0.05409378930926323,0.16415546834468842,0.1959603726863861,0.016800401732325554,0.14388218522071838,0.16581052541732788,0.033156879246234894,0.04855991154909134,0.03790384903550148,0.5001556873321533,0.27274101972579956,0.00988723337650299,0.007858906872570515,2.1917068806942552e-05,0.0025608879514038563,0.030688783153891563,0.00026989312027581036,0.00710940221324563,0.0025210045278072357,0.0007178888190537691,0.0004223432042635977,0.0006550567341037095,0.07369596511125565,0.0008045071735978127,0.0002857028739526868,0.0003880550211761147,0.0011403957614675164,0.0006873609381727874,0.9354813098907471,0.004697607364505529,0.03727966547012329,0.0046489848755300045,0.07418513298034668,0.07150617241859436,5.243241048447089e-06,2.5114645723078866e-06,0.00010843765630852431,0.00035728898365050554,0.0005265072104521096,0.000694679154548794,1.1058626796511817e-06,6.576091209353763e-07
5,5,0,-0.11134488,-0.045674097,0.07745961,0.063893326,0.035211742,0.0,0.0,0.0,0.1014929,0.24763842,-14.625270201672159,0.03142655238559477,-2.419580217953144,Extracted Data,2.960006440844154e-06,0.09042739868164062,0.030349893495440483,0.007017313037067652,0.08164908736944199,0.09726759046316147,7.147835731302621e-06,9.043943691722234e-07,1.9881989032910496e-07,0.10183535516262054,0.06588999927043915,0.17633257806301117,0.21076053380966187,0.012720564380288124,0.17861929535865784,0.19881603121757507,0.026930609717965126,0.047220438718795776,0.036551956087350845,0.4927951991558075,0.2995903789997101,0.009082197211682796,0.006790845189243555,2.322594082215801e-05,0.002322445623576641,0.022140178829431534,0.0002118657430401072,0.005196935962885618,0.0015889686765149236,0.0006229199934750795,0.0008050063624978065,0.0011169337667524815,0.07900652289390564,0.0008702139602974057,0.0002538100816309452,0.0002948348119389266,0.0010605347342789173,0.000690493150614202,0.9258412718772888,0.003424311289563775,0.02451341040432453,0.0033573107793927193,0.06327756494283676,0.07486636191606522,8.256644832727034e-06,3.945679509342881e-06,0.000215832085814327,0.0004409716057125479,0.0005829400033690035,0.0007953047170303762,1.1307233762636315e-06,6.725448429278913e-07
6,6,0,-0.106008105,-0.05197288,0.08335213,0.06391616,0.033771142,0.0,0.0,0.0,0.074746475,0.13854037,-14.511378160390034,0.3361093469198529,-2.0676012660292584,Extracted Data,3.893197117577074e-06,0.07623273134231567,0.026242291554808617,0.011047919280827045,0.09623197466135025,0.09699422866106033,7.659185939701274e-06,1.0427388588141184e-06,2.5399131686754117e-07,0.08217717707157135,0.055958788841962814,0.14733321964740753,0.1840120106935501,0.013401124626398087,0.16727007925510406,0.19262084364891052,0.029446525499224663,0.05378654599189758,0.041260167956352234,0.49491602182388306,0.270780473947525,0.01090293750166893,0.007726104464381933,1.917245754157193e-05,0.0025462347548455,0.027717815712094307,0.0002626098576001823,0.00710666598752141,0.0024113778490573168,0.0005601076991297305,0.0005536671378649771,0.0008587513002566993,0.061946801841259,0.0007851551054045558,0.00022287126921582967,0.0003167145769111812,0.0011680129682645202,0.0005891341133974493,0.9432618021965027,0.0053898924961686134,0.037803858518600464,0.004611701238900423,0.10713496804237366,0.09502646327018738,4.626934696716489e-06,2.022605258389376e-06,0.00012323289411142468,0.00036293003358878195,0.000571857497561723,0.0007629275787621737,1.323838205280481e-06,7.100150583028153e-07
7,7,0,-0.116093114,-0.09005251,0.06335437,0.050756775,0.049148012,0.0,0.0,0.0,0.6556831,0.11105041,-14.584412599961802,0.532047632968657,-2.2621204523651572,Extracted Data,3.1025003863760503e-06,0.07578537613153458,0.02743414230644703,0.011319702491164207,0.10588335990905762,0.09244000166654587,5.999476798024261e-06,7.218629320959735e-07,1.9004031059921545e-07,0.07851436734199524,0.06096797063946724,0.1276523470878601,0.16865085065364838,0.012707198970019817,0.16748683154582977,0.2050372213125229,0.03131668269634247,0.06378093361854553,0.047051507979631424,0.5062066316604614,0.2745625376701355,0.01173366978764534,0.0074004181660711765,1.59115170390578e-05,0.001837345422245562,0.015530512668192387,0.00021314305195119232,0.004978837911039591,0.002528850454837084,0.0006385271553881466,0.00037674669874832034,0.0005541729042306542,0.06156475096940994,0.0007253388757817447,0.0001361718459520489,0.00019263669673819095,0.0008868867880664766,0.00047758728032931685,0.9606484174728394,0.007558346260339022,0.022409358993172646,0.00333479349501431,0.11284484714269638,0.08923766016960144,5.754020094173029e-06,2.597815864646691e-06,0.00011165382602484897,0.0003168937109876424,0.0005880931857973337,0.0008324033115059137,1.3558770888266736e-06,5.258422106635408e-07
8,8,5,-0.10462568,-0.10192097,0.050874356,0.051678628,0.06406073,0.0,0.0,0.0,0.27040243,0.15669616,-14.47810094904606,0.13026849497192675,-2.4096210290656646,Extracted Data,3.297369858046295e-06,0.07814224064350128,0.027410069480538368,0.007014216389507055,0.09545870870351791,0.09908324480056763,6.809056230849819e-06,7.444521088473266e-07,2.1341959666187904e-07,0.10493563860654831,0.08065322041511536,0.14792679250240326,0.18617121875286102,0.01654416136443615,0.139461487531662,0.17052972316741943,0.035447388887405396,0.05694431811571121,0.04126312956213951,0.5219613909721375,0.3032008409500122,0.009258758276700974,0.00543171726167202,1.8679855202208273e-05,0.0018816010560840368,0.019062964245676994,0.00026040757074952126,0.006268188823014498,0.003022279590368271,0.0005947477766312659,0.0003569470136426389,0.0005646443460136652,0.060436174273490906,0.0010068666888400912,0.00016513769514858723,0.00026365125086158514,0.0012395728845149279,0.0006121253245510161,0.9568350911140442,0.004699152894318104,0.02905227057635784,0.003379757283255458,0.1017455905675888,0.06960294395685196,5.811067694594385e-06,2.5419587927899556e-06,0.00010484796803211793,0.00038214997039176524,0.0004132087342441082,0.0005099294357933104,1.289596184506081e-06,5.398121061261918e-07
9,9,5,-0.10493782,-0.118119664,0.047477964,0.03604461,0.06768223,0.0,0.0,0.0,0.39351946,0.14521646,-14.366978466389615,-0.06344010397445048,-2.0877789031168796,Extracted Data,3.016522668985999e-06,0.05995023250579834,0.019488906487822533,0.009121325798332691,0.1312056928873062,0.11779624968767166,5.948322723270394e-06,6.232701252883999e-07,1.9990284272353165e-07,0.09560788422822952,0.07448472827672958,0.14559878408908844,0.18474724888801575,0.01437919307500124,0.1544005572795868,0.18796294927597046,0.033285532146692276,0.058854445815086365,0.041830312460660934,0.5273876786231995,0.28659164905548096,0.010700990445911884,0.005894083064049482,1.7277101505897008e-05,0.0014973146608099341,0.013093630783259869,0.00025421453756280243,0.004377047065645456,0.003532289294525981,0.0007287483895197511,0.0002550326753407717,0.00041313294786959887,0.06456735730171204,0.0012169268447905779,0.00013834175479132682,0.00022255444491747767,0.0009632931905798614,0.0005639432929456234,0.9685019850730896,0.004729938693344593,0.023100189864635468,0.0029094726778566837,0.11125702410936356,0.07590718567371368,5.7331067182531115e-06,2.754281922534574e-06,7.185800495790318e-05,0.00036978753632865846,0.00042498460970818996,0.000572901451960206,1.4941309700589045e-06,4.803483761861571e-07
