,frame_count,emotion_index,gaze_yaw,gaze_pitch,au_shape_dim1,au_shape_dim2,au_shape_dim3,au_shape_dim4,au_shape_dim5,au_shape_dim6,au_shape_dim7,au_shape_dim8,mp_pose_yaw_deg,mp_pose_pitch_deg,mp_pose_roll_deg,detection_result,bs__neutral,bs_browDownLeft,bs_browDownRight,bs_browInnerUp,bs_browOuterUpLeft,bs_browOuterUpRight,bs_cheekPuff,bs_cheekSquintLeft,bs_cheekSquintRight,bs_eyeBlinkLeft,bs_eyeBlinkRight,bs_eyeLookDownLeft,bs_eyeLookDownRight,bs_eyeLookInLeft,bs_eyeLookInRight,bs_eyeLookOutLeft,bs_eyeLookOutRight,bs_eyeLookUpLeft,bs_eyeLookUpRight,bs_eyeSquintLeft,bs_eyeSquintRight,bs_eyeWideLeft,bs_eyeWideRight,bs_jawForward,bs_jawLeft,bs_jawOpen,bs_jawRight,bs_mouthClose,bs_mouthDimpleLeft,bs_mouthDimpleRight,bs_mouthFrownLeft,bs_mouthFrownRight,bs_mouthFunnel,bs_mouthLeft,bs_mouthLowerDownLeft,bs_mouthLowerDownRight,bs_mouthPressLeft,bs_mouthPressRight,bs_mouthPucker,bs_mouthRight,bs_mouthRollLower,bs_mouthRollUpper,bs_mouthShrugLower,bs_mouthShrugUpper,bs_mouthSmileLeft,bs_mouthSmileRight,bs_mouthStretchLeft,bs_mouthStretchRight,bs_mouthUpperUpLeft,bs_mouthUpperUpRight,bs_noseSneerLeft,bs_noseSneerRight
0,0,5,-0.25729856,-0.06928381,0.10425057,0.024890373,0.14889237,0.038249087,0.015535756,0.022257838,0.51327515,0.0403254,0.8799148429021079,0.04674666363432609,-6.734606453018566,Extracted Data,2.345828079342027e-06,0.001434935606084764,0.0008815721375867724,0.20643305778503418,0.5059893727302551,0.37734565138816833,0.0001465499954065308,3.6780313621420646e-06,6.860443590994691e-07,0.21950308978557587,0.15648296475410461,0.549262523651123,0.5425471067428589,0.014716405421495438,0.21615754067897797,0.20208536088466644,0.02201288752257824,0.013586706481873989,0.008536230772733688,0.41692298650741577,0.26079729199409485,0.0044217417016625404,0.0043786438181996346,0.0008486923761665821,0.0006570706027559936,0.050411440432071686,0.00019633591000456363,0.0021211111452430487,0.0023303397465497255,0.0005937752430327237,0.03140156716108322,0.03991730883717537,0.008511706255376339,0.0002009307936532423,0.015150046907365322,0.022318726405501366,0.038280583918094635,0.009431117214262486,0.010599818080663681,0.0008032933110371232,0.005882273428142071,0.0012201267527416348,0.0034352834336459637,0.03773702308535576,0.018365271389484406,0.01164956297725439,0.08322464674711227,0.20131844282150269,0.0777958407998085,0.07524602115154266,5.239776783128036e-06,3.986308456660481e-06
1,1,4,-0.24878928,-0.08771677,0.36681068,0.016105007,0.47465473,0.022962026,0.0006536477,0.008093762,0.91335344,0.09324767,1.0393244945312679,0.4406640038145089,-6.875288900995543,Extracted Data,1.8786852251650998e-06,0.0007376594585366547,0.0003297412768006325,0.44099146127700806,0.5240501165390015,0.4911979138851166,8.481873373966664e-05,3.6819340039073722e-06,7.263148518177331e-07,0.19398202002048492,0.061808452010154724,0.45152410864830017,0.44981876015663147,0.026857588440179825,0.15433940291404724,0.1419598013162613,0.024742240086197853,0.016716690734028816,0.01407718751579523,0.406801700592041,0.28115788102149963,0.004476334434002638,0.010370157659053802,0.0006884804461151361,0.0010279376292601228,0.017318563535809517,8.100215927697718e-05,0.0005698163877241313,0.0020187983755022287,0.00039636431029066443,0.029100583866238594,0.03878042846918106,0.010545642115175724,0.000675096467602998,0.01317646261304617,0.019470034167170525,0.03414619341492653,0.011487825773656368,0.012732445262372494,0.0002565117029007524,0.0035269944928586483,0.0008945427252911031,0.0052298554219305515,0.07998410612344742,0.018906891345977783,0.012182065285742283,0.07089787721633911,0.16047541797161102,0.1315857619047165,0.1199415922164917,6.69884047965752e-06,3.0414455522986827e-06
2,2,4,-0.2525432,-0.044408496,0.29462618,0.028740019,0.3160056,0.014465286,0.0001584521,0.010098937,0.831961,0.10254735,1.3122331198179877,0.9541534399768522,-7.423997038532636,Extracted Data,1.6671094726916635e-06,0.0020724465139210224,0.0009620934724807739,0.18382804095745087,0.46514981985092163,0.3652319610118866,9.776060323929414e-05,2.5035660655703396e-06,5.691621822734305e-07,0.21918721497058868,0.15521648526191711,0.5426406264305115,0.5405471324920654,0.022376544773578644,0.16118870675563812,0.15539243817329407,0.03095170669257641,0.013643443584442139,0.00905368197709322,0.33888107538223267,0.25895172357559204,0.004289320204406977,0.004403820261359215,0.0008355841273441911,0.0012070360826328397,0.019834203645586967,5.384548785514198e-05,0.0008419213118031621,0.0019246222218498588,0.0005743940710090101,0.0370604433119297,0.04598737508058548,0.011193125508725643,0.00040762167191132903,0.013006997294723988,0.016698021441698074,0.024726415053009987,0.008916267193853855,0.01837819442152977,0.0003345110162626952,0.003691542660817504,0.000629540765658021,0.003926652483642101,0.048043228685855865,0.02112923562526703,0.014119081199169159,0.09984312206506729,0.1987251490354538,0.09947296231985092,0.10715695470571518,5.797905032522976e-06,3.127981926809298e-06
3,3,5,-0.19862655,-0.05266191,0.056659386,0.008813255,0.19826712,0.015760629,0.013838729,0.019972712,0.8745613,0.13388011,1.7084628149549748,1.6987425301797778,-7.381415182384276,Extracted Data,1.6581161617068574e-06,0.003492163261398673,0.0026087064761668444,0.11021202057600021,0.47489434480667114,0.2850187420845032,7.759891013847664e-05,2.412119556538528e-06,7.058346795929538e-07,0.2130655199289322,0.11893024295568466,0.5283249020576477,0.5310910940170288,0.03552735969424248,0.10444435477256775,0.10668143630027771,0.045759908854961395,0.011872654780745506,0.009810150600969791,0.3375755250453949,0.24003662168979645,0.004259199369698763,0.0058790952898561954,0.0007011643028818071,0.000786213087849319,0.016466176137328148,7.626812293892726e-05,0.000665407394990325,0.001925701624713838,0.0004942215164192021,0.01772119477391243,0.02330676093697548,0.014467869885265827,0.0002829392906278372,0.011378695257008076,0.01529617328196764,0.024276135489344597,0.008492572233080864,0.025397205725312233,0.0006100696627981961,0.00284632109105587,0.0005775555619038641,0.003233105642721057,0.05129048228263855,0.025280995294451714,0.01922309398651123,0.0846189558506012,0.2467176914215088,0.10655362159013748,0.11413382738828659,5.861796580575174e-06,3.27799671140383e-06
4,4,5,-0.19738662,-0.03445398,0.038246103,0.0028482587,0.44955885,0.011165167,0.023175733,0.03730403,0.9281159,0.047218516,2.401802037649147,0.9784276492423563,-8.417171493734559,Extracted Data,1.1876138614752563e-06,0.0011179725406691432,0.0006175086600705981,0.3953181207180023,0.4863021671772003,0.4407697021961212,8.093885116977617e-05,2.19854246097384e-06,7.066112175380113e-07,0.22750993072986603,0.06891912966966629,0.5162659883499146,0.5194469690322876,0.037937749177217484,0.10639842599630356,0.10198625922203064,0.0425516776740551,0.011863948777318,0.010884493589401245,0.3373277485370636,0.26068517565727234,0.0038557902444154024,0.009989161044359207,0.0008369567221961915,0.0013348698848858476,0.01252116821706295,4.132727553951554e-05,0.0003883627650793642,0.0022694494109600782,0.0005244731437414885,0.013569864444434643,0.017331412062048912,0.01052788458764553,0.001090283039957285,0.01606692187488079,0.022165123373270035,0.02798386663198471,0.012674433179199696,0.012456081807613373,0.0001472596632083878,0.002324535511434078,0.0008328896947205067,0.0026056973729282618,0.04893340915441513,0.030732207000255585,0.021507132798433304,0.06994718313217163,0.1612216681241989,0.1250632256269455,0.11624617129564285,6.105908141762484e-06,2.8366434889903758e-06
5,5,5,-0.20399046,0.0053934227,0.08909901,0.008012207,0.62200177,0.022367088,0.02358531,0.026355537,0.72928035,0.1664808,2.136135588234213,1.8621253086768144,-8.450034395569617,Extracted Data,1.5525098433499807e-06,0.006574796512722969,0.0026726461946964264,0.16434235870838165,0.23957794904708862,0.20545516908168793,6.842998845968395e-05,1.1164189572809846e-06,3.474590641872055e-07,0.3110101819038391,0.16305743157863617,0.45297038555145264,0.4600105583667755,0.05599779635667801,0.09129726141691208,0.07035951316356659,0.05256005749106407,0.013791739009320736,0.013505491428077221,0.25694334506988525,0.35802051424980164,0.0019156849011778831,0.0030166255310177803,0.0005067604943178594,0.0010463823564350605,0.012102894484996796,3.66868480341509e-05,0.0005945955635979772,0.0027598212473094463,0.0008240701863542199,0.007079099304974079,0.008747363463044167,0.008333556354045868,0.0008947916212491691,0.009213151410222054,0.011837576515972614,0.029022062197327614,0.0187152661383152,0.0108116390183568,0.00016523031808901578,0.0028356844559311867,0.0007258111145347357,0.003405243856832385,0.05193014815449715,0.06390252709388733,0.058863598853349686,0.035707563161849976,0.08681827038526535,0.10075553506612778,0.11129413545131683,3.381167289262521e-06,2.055867980743642e-06
6,6,4,-0.18698096,0.066400364,0.12042418,0.011147104,0.539418,0.022045571,0.0153549975,0.016814768,0.9480627,0.27546978,2.678505926533816,2.685610922283957,-9.414105419781812,Extracted Data,1.2435041298886063e-06,0.0034200504887849092,0.0021506238263100386,0.184046670794487,0.4139714241027832,0.23189039528369904,6.3305749790743e-05,1.469382482355286e-06,4.4409290467228857e-07,0.24850308895111084,0.15464232861995697,0.4562436640262604,0.44343677163124084,0.028581969439983368,0.14555498957633972,0.13791386783123016,0.03479611501097679,0.017122041434049606,0.01477354858070612,0.2805027961730957,0.31408730149269104,0.003320967545732856,0.004180106334388256,0.0007249407935887575,0.002185390330851078,0.012249454855918884,2.096167554554995e-05,0.0007046106620691717,0.0011162449372932315,0.0007585062994621694,0.009150859899818897,0.0108104906976223,0.019056402146816254,0.0008995163952931762,0.01065058633685112,0.009857816621661186,0.012878185138106346,0.011070442385971546,0.036643799394369125,0.00019472009444143623,0.0019032311392948031,0.0004826113872695714,0.0026438813656568527,0.04558008536696434,0.0458725243806839,0.04418220743536949,0.086458720266819,0.20334114134311676,0.0965583547949791,0.1367594599723816,4.26809856435284e-06,2.0210973161738366e-06
7,7,5,-0.17249519,0.044627834,0.10152806,0.0,0.63217574,0.05431112,0.066358775,0.032181114,0.9330822,0.17951691,2.9168575723124617,2.621938845406531,-9.759878291907695,Extracted Data,1.0423610774523695e-06,0.003633638145402074,0.0018533458933234215,0.1779939830303192,0.375558078289032,0.24311694502830505,7.417937740683556e-05,1.3024366580793867e-06,3.6250546031624253e-07,0.26082003116607666,0.17101943492889404,0.46049293875694275,0.45856112241744995,0.050393424928188324,0.09174130856990814,0.08679115027189255,0.05023747682571411,0.014470317400991917,0.013756881467998028,0.22802039980888367,0.3141753375530243,0.0026258963625878096,0.003619830822572112,0.0007024160004220903,0.0010223526041954756,0.010222921147942543,3.399514389457181e-05,0.0004345092747826129,0.0016714280936866999,0.0009913736721500754,0.010875256732106209,0.011742820031940937,0.01126384362578392,0.000679565710015595,0.014927215874195099,0.01557267177850008,0.019750624895095825,0.01581975817680359,0.017564190551638603,0.0002075183147098869,0.0021430067718029022,0.0005716766463592649,0.0024600783362984657,0.044260695576667786,0.07080376148223877,0.06484804302453995,0.08697646111249924,0.12250491976737976,0.12148892134428024,0.15322786569595337,4.240283033141168e-06,1.8780187929223757e-06
8,8,5,-0.18965465,0.0043222466,0.087469004,0.005511026,0.7832134,0.030677177,0.07352309,0.02940827,0.91000366,0.2719605,3.1482844219640342,2.7254191631377873,-10.695624933691143,Extracted Data,1.1126966228403035e-06,0.004130889195948839,0.002161214128136635,0.18403193354606628,0.37858089804649353,0.23822438716888428,6.141290214145556e-05,1.1921573559448007e-06,3.531213224050589e-07,0.25983816385269165,0.18492750823497772,0.4579547345638275,0.4527471959590912,0.034469060599803925,0.11655659228563309,0.11659924685955048,0.04404601827263832,0.016385653987526894,0.013765748590230942,0.25905412435531616,0.2823551893234253,0.0028924415819346905,0.003513513132929802,0.0006210636347532272,0.0015237696934491396,0.009016205556690693,1.983823131013196e-05,0.0004689090419560671,0.00128583749756217,0.0008261678740382195,0.015838798135519028,0.017801670357584953,0.012010818347334862,0.0005767944385297596,0.008879718370735645,0.009699233807623386,0.01655186526477337,0.011003520339727402,0.022626975551247597,0.0002748081460595131,0.001868217601440847,0.000462911935755983,0.002675676951184869,0.04482086002826691,0.04022830352187157,0.03575413301587105,0.07911781221628189,0.13397811353206635,0.08431438356637955,0.11003261804580688,4.775070010509808e-06,2.0902771211694926e-06
9,9,5,-0.18771276,0.0029937353,0.032279488,0.0,0.5592464,0.058536805,0.16200583,0.02620089,0.94199765,0.103377394,3.560632406338885,3.0812424552152153,-10.57016027424702,Extracted Data,1.640429331928317e-06,0.0059023029170930386,0.002224501920863986,0.11027754843235016,0.4025135934352875,0.2819368541240692,0.00011144363816129044,1.3037713415542385e-06,4.627163434633985e-07,0.23810695111751556,0.18079109489917755,0.5173567533493042,0.5248491764068604,0.019144929945468903,0.172756165266037,0.17094625532627106,0.03193649649620056,0.013231043703854084,0.009919900447130203,0.32068952918052673,0.27951928973197937,0.00344715709798038,0.0035515958443284035,0.0007959510548971593,0.000983022735454142,0.011266232468187809,3.223046223865822e-05,0.0007369024096988142,0.0024266508407890797,0.0011705633951351047,0.008078445680439472,0.00951314065605402,0.009752217680215836,0.0005627284408546984,0.010510333813726902,0.012353843078017235,0.026362303644418716,0.016220124438405037,0.017416033893823624,0.0002794783504214138,0.0030369474552571774,0.0006005092291161418,0.003370305523276329,0.03799409791827202,0.10305160284042358,0.08870004117488861,0.08065418154001236,0.17107056081295013,0.12440372258424759,0.14761534333229065,3.645512606453849e-06,2.7089056402473943e-06
