,frame_count,emotion_index,gaze_yaw,gaze_pitch,au_shape_dim1,au_shape_dim2,au_shape_dim3,au_shape_dim4,au_shape_dim5,au_shape_dim6,au_shape_dim7,au_shape_dim8,mp_pose_yaw_deg,mp_pose_pitch_deg,mp_pose_roll_deg,detection_result,bs__neutral,bs_browDownLeft,bs_browDownRight,bs_browInnerUp,bs_browOuterUpLeft,bs_browOuterUpRight,bs_cheekPuff,bs_cheekSquintLeft,bs_cheekSquintRight,bs_eyeBlinkLeft,bs_eyeBlinkRight,bs_eyeLookDownLeft,bs_eyeLookDownRight,bs_eyeLookInLeft,bs_eyeLookInRight,bs_eyeLookOutLeft,bs_eyeLookOutRight,bs_eyeLookUpLeft,bs_eyeLookUpRight,bs_eyeSquintLeft,bs_eyeSquintRight,bs_eyeWideLeft,bs_eyeWideRight,bs_jawForward,bs_jawLeft,bs_jawOpen,bs_jawRight,bs_mouthClose,bs_mouthDimpleLeft,bs_mouthDimpleRight,bs_mouthFrownLeft,bs_mouthFrownRight,bs_mouthFunnel,bs_mouthLeft,bs_mouthLowerDownLeft,bs_mouthLowerDownRight,bs_mouthPressLeft,bs_mouthPressRight,bs_mouthPucker,bs_mouthRight,bs_mouthRollLower,bs_mouthRollUpper,bs_mouthShrugLower,bs_mouthShrugUpper,bs_mouthSmileLeft,bs_mouthSmileRight,bs_mouthStretchLeft,bs_mouthStretchRight,bs_mouthUpperUpLeft,bs_mouthUpperUpRight,bs_noseSneerLeft,bs_noseSneerRight
0,0,2,-0.2859228,-0.04615553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3358748538105361,-0.39570116386775517,1.6239271402760624,Extracted Data,8.93630385689903e-07,0.005728825461119413,0.0030748688150197268,0.1101926863193512,0.34742408990859985,0.3185408115386963,9.122684787143953e-06,3.977347375894169e-07,1.3637756524076394e-07,0.13170453906059265,0.15305092930793762,0.21666429936885834,0.257099449634552,0.01573292352259159,0.1847783923149109,0.19245344400405884,0.019199064001441002,0.040506038814783096,0.03022359497845173,0.5488829612731934,0.36111265420913696,0.00631006620824337,0.003928616642951965,2.450063402648084e-05,0.0022252188064157963,0.009190322831273079,8.328594412887469e-05,0.002710982458665967,0.0010695857927203178,0.00027850133483298123,0.0015602285275235772,0.0018026489997282624,0.005338453222066164,0.002345964079722762,0.0002676861477084458,0.00042707231477834284,0.002987865824252367,0.0010941686341539025,0.8813704252243042,0.0011367574334144592,0.021625801920890808,0.0037415954284369946,0.031969260424375534,0.015411017462611198,3.7003335364715895e-06,1.4579184153262759e-06,0.0004077404155395925,0.0004288667696528137,3.8325186324073e-05,5.0286234909435734e-05,3.2726084100431763e-06,4.320417303915747e-07
1,1,2,-0.2931929,-0.04681913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2826243199292093,-0.40969195135609,1.5774221314012171,Extracted Data,8.932810260375845e-07,0.005125328432768583,0.0025577996857464314,0.12699352204799652,0.36381736397743225,0.34030357003211975,9.157219210464973e-06,4.1022954633263e-07,1.4120375624315784e-07,0.11886300146579742,0.13763773441314697,0.2120920717716217,0.25321534276008606,0.016696661710739136,0.1761806160211563,0.18293948471546173,0.020451979711651802,0.040976382791996,0.03055577538907528,0.5401805639266968,0.34536394476890564,0.007104489952325821,0.004564151167869568,2.4860883058863692e-05,0.002189300488680601,0.008743886835873127,8.376383630093187e-05,0.00251185055822134,0.0011498617241159081,0.00025060217012651265,0.001491477363742888,0.0017569278134033084,0.00571330776438117,0.002369508845731616,0.0002639817539602518,0.0004354777338448912,0.0030219063628464937,0.0009941615862771869,0.8882878422737122,0.001156580401584506,0.019959984347224236,0.0035662211012095213,0.03107585944235325,0.015873227268457413,3.868194653477985e-06,1.458864176129282e-06,0.0004129203734919429,0.0004388625093270093,4.252498911228031e-05,5.273217539070174e-05,3.5512703107087873e-06,4.378304367946839e-07
2,2,2,-0.28064105,-0.02806206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2837218471892062,-0.34076681677390125,1.5705722044574786,Extracted Data,9.778452749742428e-07,0.006046845577657223,0.00335990940220654,0.12226108461618423,0.3329469859600067,0.2995859682559967,8.730262379685882e-06,4.5715853502770187e-07,1.4345339138799318e-07,0.10776877403259277,0.12455379962921143,0.20357772707939148,0.24409712851047516,0.014881924726068974,0.19591787457466125,0.20425882935523987,0.017698748037219048,0.04319673031568527,0.032652199268341064,0.5521107912063599,0.3518766760826111,0.00794670358300209,0.005074131302535534,2.344961103517562e-05,0.00238018948584795,0.010518044233322144,8.693735435372218e-05,0.0030584416817873716,0.0008334295707754791,0.0002576684346422553,0.002035691635683179,0.002516084583476186,0.005392186343669891,0.0027642734348773956,0.00027341576060280204,0.00039215260767377913,0.0023571981582790613,0.0011869142763316631,0.8874536156654358,0.0008817905327305198,0.024620357900857925,0.003994501195847988,0.035625774413347244,0.01624920405447483,2.815838342939969e-06,1.244947043232969e-06,0.0003509017114993185,0.0005556179094128311,3.57032404281199e-05,4.7926223487593234e-05,3.0961221000325168e-06,4.889618026027165e-07
3,3,2,-0.2850799,-0.02801593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3010820571837867,-0.27288792646106336,1.1846539733962305,Extracted Data,9.221483878718573e-07,0.006582253146916628,0.0035730698145926,0.11781369149684906,0.33431464433670044,0.3037344515323639,8.309229087899439e-06,4.270807778539165e-07,1.2999495879739698e-07,0.11379478871822357,0.12867605686187744,0.232860267162323,0.2717384099960327,0.015554854646325111,0.18450786173343658,0.1936800330877304,0.0198403000831604,0.037684280425310135,0.027357792481780052,0.537410318851471,0.3511814475059509,0.007717266213148832,0.004878177773207426,2.0703289919765666e-05,0.0020841150544583797,0.01098545640707016,0.00011238543083891273,0.0033842753618955612,0.0009307704167440534,0.00028090266278013587,0.0013373501133173704,0.0015975579153746367,0.006069940514862537,0.002923152409493923,0.00023344079090747982,0.0003326654841657728,0.002044904511421919,0.0009462485904805362,0.9225775003433228,0.0010693551739677787,0.025371313095092773,0.004686486907303333,0.036725256592035294,0.015777098014950752,2.1483815544343088e-06,8.945750664679508e-07,0.0002913889766205102,0.00036064026062376797,3.3220654586330056e-05,4.635436198441312e-05,2.8423708045011153e-06,4.264064159542613e-07
4,4,2,-0.2845207,-0.021548662,0.0,0.0,0.00034566797,0.0,0.0,0.0,0.0,0.0,0.2824025892400668,-0.3097104864195707,1.3115895122903167,Extracted Data,9.273887258132163e-07,0.0063475510105490685,0.0034791247453540564,0.12208589166402817,0.34070637822151184,0.30627143383026123,8.202109711419325e-06,4.2551229739729024e-07,1.2811391059130983e-07,0.11572711169719696,0.12997853755950928,0.22984392940998077,0.26855334639549255,0.016676029190421104,0.17449703812599182,0.18184006214141846,0.021364115178585052,0.03823494166135788,0.028056230396032333,0.5403016209602356,0.35534048080444336,0.0075956834480166435,0.004834504798054695,2.0707495423266664e-05,0.0018700218060985208,0.010325497016310692,0.00011446341522969306,0.0032988034654408693,0.0009373646462336183,0.0002636138233356178,0.001387443277053535,0.001680521760135889,0.006180828437209129,0.0026429486460983753,0.0002216451393906027,0.00032344419742003083,0.0020952587947249413,0.0009334991918876767,0.9205814003944397,0.001146466936916113,0.023201286792755127,0.004283855203539133,0.03560486063361168,0.015681486576795578,2.430989525237237e-06,1.0238429695164086e-06,0.00031042785849422216,0.0004044412635266781,3.46506385540124e-05,4.821314360015094e-05,2.874329311453039e-06,4.262441848368326e-07
5,5,2,-0.2845052,-0.034284316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.324196103379953,-0.353107807488954,1.1919851238308865,Extracted Data,8.682748671162699e-07,0.004923839587718248,0.0027250240091234446,0.14220619201660156,0.3793722093105316,0.341947078704834,8.561062713852152e-06,4.1803298245213227e-07,1.4532125192090461e-07,0.11047549545764923,0.11475981026887894,0.23591363430023193,0.2719040811061859,0.015904167667031288,0.1892232596874237,0.2018911987543106,0.017974860966205597,0.03787713125348091,0.026715008541941643,0.5349106788635254,0.32001248002052307,0.008238147012889385,0.005773564800620079,2.1365969587350264e-05,0.0019738522823899984,0.011051596142351627,0.00012579203757923096,0.0036182354670017958,0.001149678253568709,0.0002755424939095974,0.0010600949171930552,0.0013416766887530684,0.0062646521255373955,0.002610380994156003,0.00023739499738439918,0.0003775092482101172,0.0021643086802214384,0.0008820678340271115,0.930388331413269,0.0012922432506456971,0.025687549263238907,0.004860034212470055,0.033153414726257324,0.013053272850811481,2.1125983948877547e-06,8.696928261997527e-07,0.0002412909670965746,0.0003786667948588729,2.923008651123382e-05,3.7409583455882967e-05,3.063855729124043e-06,4.045344610403845e-07
6,6,2,-0.2895286,-0.030538134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3129765288739443,-0.28535055492035105,1.4790069112648965,Extracted Data,8.053967803789419e-07,0.0051845163106918335,0.0026961315888911486,0.13900062441825867,0.36519163846969604,0.33423149585723877,8.186378181562759e-06,3.998130750915152e-07,1.2243008029599878e-07,0.11243490129709244,0.12715330719947815,0.24572062492370605,0.2807134985923767,0.017666783183813095,0.17623496055603027,0.18589332699775696,0.01967739872634411,0.036833830177783966,0.025609280914068222,0.5318268537521362,0.33125755190849304,0.00802433118224144,0.005098746623843908,2.150610089302063e-05,0.0017118670511990786,0.010464548133313656,0.00013041577767580748,0.0034687824081629515,0.0009649152052588761,0.0003188182890880853,0.0010669083567336202,0.0012733644107356668,0.0064172218553721905,0.0024613274727016687,0.0002348998823435977,0.000345734937582165,0.00197801785543561,0.0009681308874860406,0.926338255405426,0.0013325283071026206,0.022202275693416595,0.0043090214021503925,0.030882729217410088,0.013228354044258595,2.4088114969345042e-06,1.0796478591146297e-06,0.00026714004343375564,0.0003753651981242001,3.016209120687563e-05,4.299091233406216e-05,2.870198386517586e-06,3.684536409309658e-07
7,7,2,-0.29692072,-0.014222161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23522472136162761,-0.15951369791821482,1.3520580757407972,Extracted Data,7.837891189410584e-07,0.0042300098575651646,0.0026928384322673082,0.15575730800628662,0.4046534299850464,0.31999891996383667,7.804992492310703e-06,4.2699443270066695e-07,1.3909112794863177e-07,0.12281504273414612,0.10700086504220963,0.21908029913902283,0.250673770904541,0.01674848049879074,0.18593691289424896,0.19399909675121307,0.018907582387328148,0.03937404602766037,0.03164472058415413,0.5028926134109497,0.33519408106803894,0.007259255275130272,0.006429464556276798,2.1887137336307205e-05,0.0019796215929090977,0.009421193040907383,0.0001052336156135425,0.003150555770844221,0.0010786168277263641,0.00026017852360382676,0.0012584830401465297,0.001487172325141728,0.006160867866128683,0.002589062787592411,0.00022340763825923204,0.00035477272467687726,0.0023462455719709396,0.0009092396358028054,0.9290896058082581,0.0012374500511214137,0.022058675065636635,0.003664494026452303,0.03342220559716225,0.013504009693861008,2.749652367128874e-06,1.0799928986671148e-06,0.00034722796408459544,0.0003807314787991345,2.975849201902747e-05,3.905135963577777e-05,3.008670773851918e-06,3.6700805594591657e-07
8,8,2,-0.31065586,-0.017512854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29537883533642495,-0.19526685525012352,1.3932463839304479,Extracted Data,7.702320203861746e-07,0.004475882276892662,0.0024537001736462116,0.17383529245853424,0.3711840510368347,0.3362677991390228,8.179378710337915e-06,3.902792400367616e-07,1.2857448439262953e-07,0.1150474026799202,0.11224786192178726,0.23748250305652618,0.27112317085266113,0.018793227151036263,0.15877780318260193,0.16461840271949768,0.025442324578762054,0.03772146999835968,0.027380960062146187,0.5117062330245972,0.31115880608558655,0.007955001667141914,0.005982450675219297,2.1360183382057585e-05,0.001917534857057035,0.010346055962145329,0.00012822930875699967,0.0034164946991950274,0.0011362085351720452,0.00029409589478746057,0.0007657106616534293,0.0009032324305735528,0.007028541993349791,0.0025434026028960943,0.00021798168017994612,0.00034787587355822325,0.0020188051275908947,0.0007953277672640979,0.9402918815612793,0.0015087411738932133,0.021078260615468025,0.0044187805615365505,0.030225064605474472,0.012890792451798916,2.314164703420829e-06,9.381308814226941e-07,0.0002505833108443767,0.00030096620321273804,3.0360026357811876e-05,4.176348011242226e-05,2.8652536911977222e-06,3.4198575349364546e-07
9,9,2,-0.32083717,-0.0039005782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43189759028624697,-0.5582123372931631,1.421427739826799,Extracted Data,8.11359939234535e-07,0.004584114067256451,0.002226941753178835,0.19393879175186157,0.33150163292884827,0.3152981698513031,6.909077455929946e-06,4.7669709601905197e-07,1.4135451920083142e-07,0.1133415475487709,0.12457514554262161,0.2594694495201111,0.2865118086338043,0.02567669004201889,0.14147701859474182,0.14424459636211395,0.024768518283963203,0.03582792356610298,0.025905687361955643,0.5303263664245605,0.3516407310962677,0.00818359013646841,0.005849502980709076,2.3065584173309617e-05,0.0017302721971645951,0.008802641183137894,0.00014289737737271935,0.002814041217789054,0.0011735187144950032,0.00022118470224086195,0.001165614346973598,0.0015363780548796058,0.00874920841306448,0.0024552468676120043,0.0002175236732000485,0.000370599067537114,0.0018089208751916885,0.000717798771802336,0.9479221105575562,0.001321669784374535,0.01823105290532112,0.0034183997195214033,0.029247963801026344,0.014063739217817783,2.4574455892434344e-06,1.0453594541104394e-06,0.00027086108457297087,0.0005111336358822882,2.98096510960022e-05,3.8399597542593256e-05,3.459071876932285e-06,3.731119875283184e-07
