,frame_count,emotion_index,gaze_yaw,gaze_pitch,au_shape_dim1,au_shape_dim2,au_shape_dim3,au_shape_dim4,au_shape_dim5,au_shape_dim6,au_shape_dim7,au_shape_dim8,mp_pose_yaw_deg,mp_pose_pitch_deg,mp_pose_roll_deg,detection_result,bs__neutral,bs_browDownLeft,bs_browDownRight,bs_browInnerUp,bs_browOuterUpLeft,bs_browOuterUpRight,bs_cheekPuff,bs_cheekSquintLeft,bs_cheekSquintRight,bs_eyeBlinkLeft,bs_eyeBlinkRight,bs_eyeLookDownLeft,bs_eyeLookDownRight,bs_eyeLookInLeft,bs_eyeLookInRight,bs_eyeLookOutLeft,bs_eyeLookOutRight,bs_eyeLookUpLeft,bs_eyeLookUpRight,bs_eyeSquintLeft,bs_eyeSquintRight,bs_eyeWideLeft,bs_eyeWideRight,bs_jawForward,bs_jawLeft,bs_jawOpen,bs_jawRight,bs_mouthClose,bs_mouthDimpleLeft,bs_mouthDimpleRight,bs_mouthFrownLeft,bs_mouthFrownRight,bs_mouthFunnel,bs_mouthLeft,bs_mouthLowerDownLeft,bs_mouthLowerDownRight,bs_mouthPressLeft,bs_mouthPressRight,bs_mouthPucker,bs_mouthRight,bs_mouthRollLower,bs_mouthRollUpper,bs_mouthShrugLower,bs_mouthShrugUpper,bs_mouthSmileLeft,bs_mouthSmileRight,bs_mouthStretchLeft,bs_mouthStretchRight,bs_mouthUpperUpLeft,bs_mouthUpperUpRight,bs_noseSneerLeft,bs_noseSneerRight
0,0,1,-0.24421653,-0.06899065,0.0,0.0,0.0,0.6641023,0.0,0.9943342,0.32672244,0.039048582,,,,No MP Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,-0.4254896,-0.25688082,0.0,0.0,0.0,0.066167265,0.0,0.99508107,0.8736259,0.000790495,,,,No MP Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,2,-0.55616724,-0.37092876,0.9114259,0.0,0.020587843,0.0,0.008677679,0.0011331092,0.95859677,0.0,,,,No MP Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,2,-0.38427293,-0.17021807,0.9868489,0.0022107335,0.0122727305,0.0,0.00025978964,0.28414243,0.97264254,0.029527491,,,,No MP Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,2,-0.62270075,-0.53195846,0.3887541,0.0,0.0,0.0,0.021897174,0.46984202,0.95075154,0.051593848,,,,No MP Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,2,-0.5684731,-0.47799304,0.992682,0.0,0.4812212,0.0,0.04985092,0.45026347,0.4622084,0.0,,,,No MP Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,2,-0.5810101,-0.44119623,0.98645836,0.0,0.48279205,0.0,0.093695,0.0001882066,0.80726266,0.0,,,,No MP Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,2,-0.7686409,-0.80992687,0.9820436,0.0,0.0,0.0,0.0,0.0,0.93745077,0.0,,,,No MP Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,4,-0.45011094,-0.26315027,0.9827781,0.0,0.011327994,0.001748005,5.6721143e-05,0.47661403,0.96406597,0.0,,,,No MP Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9,2,-0.6274355,-0.538992,0.97509867,0.0,0.06983403,0.023262199,0.011530019,0.7191265,0.8940731,0.0,0.19063602871221252,-1.846900099433191,4.766324456338919,Extracted Data,2.6885631996265147e-06,0.000221937385504134,0.00019108629203401506,0.4756942093372345,0.8166182637214661,0.3944808542728424,0.0001080026850104332,1.5653923810532433e-06,6.043816824785608e-07,0.8200076222419739,0.5835964679718018,0.4993775188922882,0.45100685954093933,0.05184789001941681,0.23331570625305176,0.14556315541267395,0.02028563804924488,0.006613957695662975,0.023216933012008667,0.3550511598587036,0.7251917123794556,0.00011695480498019606,0.00016140079242177308,0.0003745481080841273,0.005451143719255924,0.321531742811203,0.00021244831441435963,0.12245821207761765,0.003021696349605918,0.07006392627954483,0.0015509768854826689,0.0016493642469868064,0.0015720302471891046,1.3280426173878368e-05,0.015338622033596039,0.016060736030340195,0.02340450882911682,0.13983012735843658,0.0014746191445738077,0.08397959172725677,0.031841401010751724,0.03209128975868225,0.007991774007678032,0.004784401971846819,0.004294772632420063,0.012397871352732182,0.0010394926648586988,0.014368526637554169,0.00206987326964736,0.003956275526434183,1.0960466170217842e-06,1.1460066389190615e-06
