,frame_count,emotion_index,gaze_yaw,gaze_pitch,au_shape_dim1,au_shape_dim2,au_shape_dim3,au_shape_dim4,au_shape_dim5,au_shape_dim6,au_shape_dim7,au_shape_dim8,mp_pose_yaw_deg,mp_pose_pitch_deg,mp_pose_roll_deg,detection_result,bs__neutral,bs_browDownLeft,bs_browDownRight,bs_browInnerUp,bs_browOuterUpLeft,bs_browOuterUpRight,bs_cheekPuff,bs_cheekSquintLeft,bs_cheekSquintRight,bs_eyeBlinkLeft,bs_eyeBlinkRight,bs_eyeLookDownLeft,bs_eyeLookDownRight,bs_eyeLookInLeft,bs_eyeLookInRight,bs_eyeLookOutLeft,bs_eyeLookOutRight,bs_eyeLookUpLeft,bs_eyeLookUpRight,bs_eyeSquintLeft,bs_eyeSquintRight,bs_eyeWideLeft,bs_eyeWideRight,bs_jawForward,bs_jawLeft,bs_jawOpen,bs_jawRight,bs_mouthClose,bs_mouthDimpleLeft,bs_mouthDimpleRight,bs_mouthFrownLeft,bs_mouthFrownRight,bs_mouthFunnel,bs_mouthLeft,bs_mouthLowerDownLeft,bs_mouthLowerDownRight,bs_mouthPressLeft,bs_mouthPressRight,bs_mouthPucker,bs_mouthRight,bs_mouthRollLower,bs_mouthRollUpper,bs_mouthShrugLower,bs_mouthShrugUpper,bs_mouthSmileLeft,bs_mouthSmileRight,bs_mouthStretchLeft,bs_mouthStretchRight,bs_mouthUpperUpLeft,bs_mouthUpperUpRight,bs_noseSneerLeft,bs_noseSneerRight
0,0,4,-0.48396045,-0.3275922,0.08530939,0.0,0.0948546,0.0,0.0,0.010175179,0.98355496,0.0,,,,No MP Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,4,-0.7376446,-0.6546687,0.3916285,0.0,0.84728026,0.0,1.9392724e-05,0.0028719462,0.9800292,0.0,-1.3907121813752399,-23.354779310628327,11.735816047551507,Extracted Data,6.372509346874722e-07,0.003187720198184252,0.06913713365793228,0.034824490547180176,0.28620830178260803,0.060806289315223694,0.0001599268871359527,7.890220388162561e-08,1.086938596017717e-06,0.471343070268631,0.6470856070518494,0.016401786357164383,0.020863454788923264,0.0036032586358487606,0.4251239597797394,0.443436861038208,0.013653971254825592,0.292145699262619,0.2794715464115143,0.3389948010444641,0.11829566210508347,0.0008383918320760131,0.000126678918604739,0.0006187125691212714,0.012038923799991608,0.29810047149658203,0.0024338734801858664,0.005973530933260918,0.031607985496520996,0.0007671797648072243,3.254711191402748e-05,2.9926663046353497e-05,0.011162799783051014,0.046000294387340546,0.05772564932703972,0.07914114743471146,0.060480087995529175,0.0029733881819993258,0.030529038980603218,1.2207604413561057e-05,0.009251669980585575,0.01008819229900837,0.00013926561223343015,0.0015991375548765063,0.0017214129911735654,0.000289255433017388,0.0018857518443837762,0.0003630236897151917,3.127785021206364e-05,6.565953754034126e-06,5.573463113250909e-06,3.547929452452081e-07
2,2,4,-0.6983163,-0.61809295,0.047052737,0.0,0.022399023,0.0,0.0,0.0,0.9884505,0.0,-7.511681779674684,-25.63020787874431,12.248424725040108,Extracted Data,4.202738921321725e-07,0.0031607835553586483,0.06296580284833908,0.020533408969640732,0.255386620759964,0.08933349698781967,0.0002567803312558681,3.8139845059959043e-07,3.463267148617888e-06,0.2894076704978943,0.4784182608127594,0.10610129684209824,0.1531722992658615,0.01730244606733322,0.29801905155181885,0.3109494745731354,0.015641923993825912,0.06954462826251984,0.06651255488395691,0.7396367192268372,0.10775317251682281,0.00265922280959785,0.000611483643297106,0.0017080185934901237,6.705711712129414e-05,0.04096332937479019,0.011159500107169151,0.000849747855681926,0.03611903637647629,4.01552279072348e-05,0.0030019874684512615,0.004925405606627464,0.008328009396791458,0.06974972039461136,0.13627022504806519,0.41125547885894775,0.04522936791181564,0.0007632243214175105,0.06353113800287247,9.668816574048833e-07,0.0035078010987490416,0.0034001923631876707,7.826820365153253e-05,0.0033385041169822216,0.01044211070984602,0.001077494933269918,0.28819289803504944,0.07322703301906586,0.0006674808682873845,0.00011323103535687551,3.071056926273741e-05,1.1263699661867577e-06
3,3,4,-0.5311112,-0.35836807,0.03234887,0.0,0.011380013,0.0,0.0,0.0039810957,0.9851419,0.0,,,,No MP Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,4,-0.869547,-0.7464529,0.16959466,0.0,0.516375,0.0,0.0,0.14247073,0.9538576,0.0,,,,No MP Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,4,-0.42354128,-0.21767291,0.19491503,0.0,0.08280888,6.300673e-05,0.00094631856,0.45086354,0.9905048,0.0,,,,No MP Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,4,-0.6911866,-0.49120203,0.09703751,0.0,0.016292723,0.0,0.0,0.020712724,0.9301396,0.0,,,,No MP Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,2,-0.7201907,-0.50449014,0.64990103,0.0,0.068816796,0.0,0.0016260296,0.20495087,0.93616414,0.0,-0.5554922192425719,-21.8357912664536,12.71184682078135,Extracted Data,7.485805895157682e-07,0.0029934553895145655,0.0384363979101181,0.08482320606708527,0.3103052079677582,0.11484505236148834,0.00012846245954278857,9.197334094324106e-08,6.869184403512918e-07,0.4092375338077545,0.6436380743980408,0.010097634047269821,0.013190184719860554,0.005965022835880518,0.3153848350048065,0.3474862277507782,0.02061661146581173,0.40576785802841187,0.3921332359313965,0.40788787603378296,0.14626939594745636,0.000979524222202599,0.00011721361079253256,0.0003824318991973996,0.0031149492133408785,0.2635639011859894,0.006037413142621517,0.007824687287211418,0.010890979319810867,0.0009635528549551964,3.408694465178996e-05,2.7656564270728268e-05,0.015790041536092758,0.02476460114121437,0.05128100886940956,0.06835626810789108,0.0257111843675375,0.002193642780184746,0.12094193696975708,3.737730366992764e-05,0.013974633999168873,0.02110559493303299,0.00018014840316027403,0.0009646767284721136,0.0002008225565077737,4.417364834807813e-05,0.0006565943476743996,0.00018464949971530586,1.3430203580355737e-05,4.402783361001639e-06,4.463165623747045e-06,3.0106286885711597e-07
8,8,4,-0.80607754,-0.78520876,0.087013505,0.0,0.19836758,0.0,0.00011119095,0.007427449,0.98184276,0.0,,,,No MP Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9,4,-0.88442564,-1.0553416,0.39580622,0.0,0.050467808,0.0,0.0,0.003493365,0.99266624,0.0,,,,No MP Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
