,frame_count,emotion_index,gaze_yaw,gaze_pitch,au_shape_dim1,au_shape_dim2,au_shape_dim3,au_shape_dim4,au_shape_dim5,au_shape_dim6,au_shape_dim7,au_shape_dim8,mp_pose_yaw_deg,mp_pose_pitch_deg,mp_pose_roll_deg,detection_result,bs__neutral,bs_browDownLeft,bs_browDownRight,bs_browInnerUp,bs_browOuterUpLeft,bs_browOuterUpRight,bs_cheekPuff,bs_cheekSquintLeft,bs_cheekSquintRight,bs_eyeBlinkLeft,bs_eyeBlinkRight,bs_eyeLookDownLeft,bs_eyeLookDownRight,bs_eyeLookInLeft,bs_eyeLookInRight,bs_eyeLookOutLeft,bs_eyeLookOutRight,bs_eyeLookUpLeft,bs_eyeLookUpRight,bs_eyeSquintLeft,bs_eyeSquintRight,bs_eyeWideLeft,bs_eyeWideRight,bs_jawForward,bs_jawLeft,bs_jawOpen,bs_jawRight,bs_mouthClose,bs_mouthDimpleLeft,bs_mouthDimpleRight,bs_mouthFrownLeft,bs_mouthFrownRight,bs_mouthFunnel,bs_mouthLeft,bs_mouthLowerDownLeft,bs_mouthLowerDownRight,bs_mouthPressLeft,bs_mouthPressRight,bs_mouthPucker,bs_mouthRight,bs_mouthRollLower,bs_mouthRollUpper,bs_mouthShrugLower,bs_mouthShrugUpper,bs_mouthSmileLeft,bs_mouthSmileRight,bs_mouthStretchLeft,bs_mouthStretchRight,bs_mouthUpperUpLeft,bs_mouthUpperUpRight,bs_noseSneerLeft,bs_noseSneerRight
0,0,1,-0.19173211,-0.079347536,0.0,0.0,0.0,0.20832299,0.0,0.99570334,0.5593599,0.018824577,,,,No MP Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,4,-0.28844565,0.0057671545,0.18554287,0.0,0.06069593,0.30298054,0.0026860347,0.0008604596,0.996539,0.06578311,,,,No MP Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,2,-0.6054684,-0.437804,0.85914814,0.0,0.74759316,0.28307727,0.29221475,0.0,0.9959412,0.086772546,,,,No MP Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,2,-0.59922945,-0.52772987,0.9466317,0.0,0.4345563,0.06843979,0.019365126,0.0,0.99747825,0.30017406,,,,No MP Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,2,-0.6731823,-0.6779415,0.96585304,0.0,0.54379565,0.04938061,0.027099438,0.0,0.9962207,0.31586426,,,,No MP Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,2,-0.87969434,-0.9297417,0.53178656,0.0,0.09762702,0.0033651597,0.00469818,0.0,0.99138725,0.0,,,,No MP Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,2,-0.6033214,-0.5016278,0.2381005,0.0,0.9805958,0.0,0.0,0.040525623,0.9931558,0.0,,,,No MP Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,2,-0.5259657,-0.3415111,0.31555003,0.0,0.078491196,0.1598626,0.0,0.061128415,0.9943826,0.008783145,2.410232100795735,-11.324632534547682,8.389171909444721,Extracted Data,3.3544451980560552e-06,0.002296177437528968,0.024733372032642365,0.048917897045612335,0.6418387293815613,0.07269677519798279,0.0001649100158829242,2.620151349219668e-07,4.132810147439159e-07,0.5428318977355957,0.7177454233169556,0.040804099291563034,0.021635742858052254,0.005253013223409653,0.17548245191574097,0.35864394903182983,0.03707537800073624,0.20196615159511566,0.23085591197013855,0.5578620433807373,0.38800206780433655,0.0004932957235723734,5.482973574544303e-05,0.0002789238642435521,0.0028975054156035185,0.25812166929244995,0.0012267458951100707,0.04823737218976021,0.00806749239563942,0.02617987059056759,5.708336175302975e-05,4.047968832310289e-05,0.007976354099810123,0.00034982856595888734,0.009313897229731083,0.006553709506988525,0.09551361203193665,0.04465407878160477,0.009882146492600441,0.004528745077550411,0.01775341108441353,0.01459462195634842,0.0016190643655136228,0.005671360529959202,0.007572144269943237,0.007005595602095127,0.0013504019007086754,0.000304431829135865,7.158619700931013e-05,0.00014662620378658175,9.3178505267133e-07,9.159805927083653e-07
8,8,2,-0.76971257,-0.7551248,0.1553781,0.0,0.9530345,0.013361484,0.0014948325,0.03502188,0.9945364,0.0,,,,No MP Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9,4,-0.9681021,-0.9479914,0.026276985,0.0,0.16273303,0.011172453,0.0,0.0,0.99589926,0.0,,,,No MP Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,10,2,-0.4136316,-0.2650304,0.9431616,0.0,0.266423,0.19294585,0.20489138,0.0,0.9954214,0.043158423,,,,No MP Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
