,frame_count,emotion_index,gaze_yaw,gaze_pitch,au_shape_dim1,au_shape_dim2,au_shape_dim3,au_shape_dim4,au_shape_dim5,au_shape_dim6,au_shape_dim7,au_shape_dim8,mp_pose_yaw_deg,mp_pose_pitch_deg,mp_pose_roll_deg,detection_result
0,0,4,-0.6729793,-0.71690255,0.82638705,0.0,0.5237825,0.014383317,0.0,0.0,0.8392982,0.0,,,,No MP Data
1,1,4,-0.6997329,-0.7727897,0.9790839,0.0,0.15901528,0.046740085,0.034280747,0.49844757,0.9242083,0.0,,,,No MP Data
2,2,4,-0.613501,-0.71742797,0.88816774,0.0,0.02638109,0.031513475,0.00022548433,0.118109554,0.9913212,0.0,,,,No MP Data
3,3,4,-0.57336307,-0.59209824,0.9686047,0.0,0.06643462,0.16793562,0.09530477,0.5351193,0.9549438,0.0,,,,No MP Data
4,4,4,-0.3178186,-0.16658024,0.89277387,0.034413468,0.013697479,0.054164864,0.0079559535,0.63400894,0.9339598,0.0017717956,,,,No MP Data
5,5,4,-0.37358254,-0.14225756,0.82789904,0.22147477,0.0,0.0027362301,0.0,0.75164115,0.050547373,0.0,,,,No MP Data
6,6,2,-0.47440842,-0.27624434,0.90003467,0.009012109,0.19661361,0.18095124,0.0007117799,0.4011818,0.05515631,0.019972382,,,,No MP Data
7,7,4,-0.36231518,-0.2264006,0.5185643,0.0,0.006835206,0.27332872,0.0,0.5390296,0.8242388,0.009641685,,,,No MP Data
8,8,4,-0.7557106,-0.90512407,0.056185737,0.0,0.18090978,0.0,0.0,0.07901612,0.6863978,0.0,,,,No MP Data
9,9,4,-0.7587709,-0.8855822,0.022943247,0.0,0.0,0.0,0.0,0.16695407,0.9907202,0.0,,,,No MP Data
10,10,4,-0.5165556,-0.49572834,0.8765061,0.0,0.20286487,0.57161355,0.005522106,0.77920747,0.9753469,0.0,,,,No MP Data
11,11,4,-0.88059264,-0.9013356,0.7789327,0.0,0.1592103,0.13642356,0.0,0.00017427828,0.9239026,0.0,,,,No MP Data
12,12,4,-0.54769945,-0.3662526,0.78725576,0.0,0.29692447,0.4239031,5.752097e-05,0.050613783,0.88759184,0.0,,,,No MP Data
