,frame_count,emotion_index,gaze_yaw,gaze_pitch,au_shape_dim1,au_shape_dim2,au_shape_dim3,au_shape_dim4,au_shape_dim5,au_shape_dim6,au_shape_dim7,au_shape_dim8,mp_pose_yaw_deg,mp_pose_pitch_deg,mp_pose_roll_deg,detection_result,bs__neutral,bs_browDownLeft,bs_browDownRight,bs_browInnerUp,bs_browOuterUpLeft,bs_browOuterUpRight,bs_cheekPuff,bs_cheekSquintLeft,bs_cheekSquintRight,bs_eyeBlinkLeft,bs_eyeBlinkRight,bs_eyeLookDownLeft,bs_eyeLookDownRight,bs_eyeLookInLeft,bs_eyeLookInRight,bs_eyeLookOutLeft,bs_eyeLookOutRight,bs_eyeLookUpLeft,bs_eyeLookUpRight,bs_eyeSquintLeft,bs_eyeSquintRight,bs_eyeWideLeft,bs_eyeWideRight,bs_jawForward,bs_jawLeft,bs_jawOpen,bs_jawRight,bs_mouthClose,bs_mouthDimpleLeft,bs_mouthDimpleRight,bs_mouthFrownLeft,bs_mouthFrownRight,bs_mouthFunnel,bs_mouthLeft,bs_mouthLowerDownLeft,bs_mouthLowerDownRight,bs_mouthPressLeft,bs_mouthPressRight,bs_mouthPucker,bs_mouthRight,bs_mouthRollLower,bs_mouthRollUpper,bs_mouthShrugLower,bs_mouthShrugUpper,bs_mouthSmileLeft,bs_mouthSmileRight,bs_mouthStretchLeft,bs_mouthStretchRight,bs_mouthUpperUpLeft,bs_mouthUpperUpRight,bs_noseSneerLeft,bs_noseSneerRight
0,0,1,-0.17845991,-0.009934419,0.0,0.0,0.0,0.47776535,0.0,0.9966398,0.9788454,0.006607865,,,,No MP Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,5,-0.1300171,-0.047684073,0.0,0.0,0.0,0.42911264,0.0,0.9784076,0.4411555,0.0001224538,,,,No MP Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,1,-0.15102558,0.011729358,0.0,0.0,0.00046568998,0.24180885,0.0,0.9929964,0.9318454,0.008558928,,,,No MP Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,1,-0.16774306,-0.012332219,0.0,0.0,0.0,0.36931542,0.0,0.98449606,0.16960111,0.019635536,,,,No MP Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,1,-0.12716793,-0.04024153,0.0,0.0,0.0,0.5787254,0.0,0.99272555,0.9745958,0.0062621995,,,,No MP Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,2,-0.65803933,-0.6351341,0.9549327,0.0009480354,0.24114807,0.002315932,0.0022346685,0.050927136,0.9070127,0.0014804085,,,,No MP Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,2,-0.25507507,-0.13447674,0.9583943,0.0,0.054450065,0.011820812,0.13061869,0.22778574,0.47565824,0.0,,,,No MP Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,2,-0.3572234,-0.13718791,0.9172806,0.0148461405,0.049341515,0.029270802,0.0028879656,0.70918465,0.45738345,0.0,,,,No MP Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,1,-0.12628177,-0.108825415,0.0,0.0,0.0,0.27453175,0.0,0.9846522,0.59539807,0.014358486,,,,No MP Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9,1,-0.13889512,-0.12458067,0.0,0.0,0.0,0.090759836,0.0,0.987833,0.6790721,0.020619392,,,,No MP Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,10,1,-0.17004344,0.020202436,0.0,0.0,0.0,0.68088436,0.0,0.9876666,0.5970162,0.0,,,,No MP Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,11,1,-0.11939622,-0.07948729,0.0,0.0,0.0,0.12709263,0.0,0.9970451,0.6386391,0.17398226,,,,No MP Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12,1,-0.12513602,-0.027228545,0.0,0.0,0.0,0.2528521,0.0,0.9804902,0.25132418,0.002915967,,,,No MP Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,13,2,-0.26642123,-0.20689122,0.98551077,0.0,0.64792836,0.0,0.8943746,0.945251,0.85505223,0.006508664,,,,No MP Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,14,2,-0.5852299,-0.538481,0.73900586,0.0,0.6322427,0.046064865,0.093411416,0.34510398,0.9610261,0.0,,,,No MP Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,15,7,-0.12833525,-0.018157892,0.0,0.0,0.0,0.059355695,0.0,0.96327895,0.21773402,0.04139647,,,,No MP Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,16,2,-0.3953625,-0.28335494,0.9714092,0.0,0.1952888,0.0070721395,0.0034030243,0.9316217,0.32966715,0.0,,,,No MP Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17,2,-0.526161,-0.45720372,0.9729303,0.0,0.0956673,0.3448162,0.029390909,0.5937166,0.7636869,0.0,,,,No MP Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,18,4,-0.279332,-0.08027305,0.9614594,0.026823193,0.012337902,0.0,0.0050917347,0.07868056,0.42591274,0.0,,,,No MP Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,19,2,-0.5519105,-0.39223298,0.81963086,0.0,0.6751152,0.23357587,0.0,0.024120536,0.93502665,0.0034385142,,,,No MP Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,20,1,-0.18404233,-0.026586741,0.0,0.0,0.0,0.03430733,0.0,0.9865303,0.31954587,0.3707885,,,,No MP Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,21,1,-0.12883252,0.056215845,0.0,0.0,0.0,0.011233508,0.0,0.9825736,0.47719008,0.62829554,,,,No MP Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,22,1,-0.14062166,0.0016854997,0.0,0.0,0.0,0.07541391,0.0,0.98831606,0.8495781,0.9475088,,,,No MP Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,23,7,-0.16305268,-0.040033597,0.0,0.0,0.0,0.019913506,0.0,0.9752066,0.47663033,0.18227006,,,,No MP Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,24,2,-0.1990341,0.0686031,0.62566423,0.0,0.11178727,0.9221704,0.22808272,0.49405324,0.9879028,0.0,,,,No MP Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,25,1,-0.20594546,-0.0054157535,0.0,0.0,0.0,0.46783593,0.0,0.9972828,0.9379506,0.019588176,,,,No MP Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,26,1,-0.1921686,0.10478362,0.0,0.0,0.0,0.43175822,0.0,0.9970683,0.9873064,0.2870702,,,,No MP Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,27,2,-0.29708758,-0.19588578,0.9175456,0.0,0.7018419,0.6739225,0.9090589,0.29244828,0.6583125,0.0,,,,No MP Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,28,7,-0.16990802,-0.10300352,0.0,0.0,0.0,0.09127859,0.0,0.9869201,0.50194335,0.0,,,,No MP Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,29,1,-0.19422442,-0.13225149,0.0,0.0,0.0,0.15523317,0.0,0.9950988,0.97745293,0.46789008,,,,No MP Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,30,2,-0.6477218,-0.62366474,0.87309504,0.0,0.034627028,0.06667897,0.0002562487,0.8388828,0.035729583,0.0,,,,No MP Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,31,2,-0.46422347,-0.28885412,0.94020104,0.0,0.3172188,0.008971142,0.0,0.59721535,0.8859986,0.0,,,,No MP Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,32,2,-0.36748493,-0.23842607,0.9817008,0.0,0.17110915,0.22456677,0.086573385,0.79100597,0.87860036,0.0,,,,No MP Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,33,2,-0.6360969,-0.6805102,0.4727283,0.0,0.049763877,0.77214533,0.40215278,0.015794627,0.511798,0.0,,,,No MP Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,34,2,-0.30905688,-0.16845576,0.9659928,0.0,0.4861477,0.2641583,0.61734164,0.47670138,0.2505453,0.0,,,,No MP Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,35,2,-0.3021639,-0.15804668,0.9333,0.0,0.90738666,0.42014438,0.9486914,0.22431767,0.51547,0.0,,,,No MP Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,36,2,-0.19138151,-0.04987477,0.6035789,0.0,0.59551394,0.3232826,0.5602249,0.09008087,0.9528832,0.053147867,,,,No MP Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,37,2,-0.414957,-0.39917058,0.94840837,0.0,0.08211343,0.5469265,0.12248119,0.42579913,0.9895514,0.0,,,,No MP Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,38,5,-0.15564269,-0.03298386,0.0,0.0,0.0012003273,0.68982303,0.2671046,0.65271044,0.906295,0.050889242,,,,No MP Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,39,1,-0.1738171,-0.02742491,0.0,0.0,0.0,0.019676752,0.0,0.9817369,0.22743389,0.36871603,,,,No MP Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,40,4,-0.5316365,-0.39578965,0.81393206,0.0,0.0115373,0.030738812,0.000488388,0.4947775,0.9895833,0.0,,,,No MP Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,41,2,-0.6987789,-0.6161218,0.96881676,0.0,0.06293553,0.0,0.0633382,0.48604175,0.95738065,0.0,,,,No MP Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,42,2,-0.6401704,-0.49738565,0.97839135,0.0,0.11131944,0.0,0.12404129,0.05467535,0.71705097,0.011614487,,,,No MP Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,43,2,-0.31962752,-0.23651306,0.88321674,0.0,0.20278256,0.9859132,0.4685393,0.045893997,0.98532754,0.0,,,,No MP Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,44,1,-0.16996673,-0.07354957,0.0,0.0,0.0,0.35085797,0.0,0.98572946,0.92031497,0.12983947,,,,No MP Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,45,2,-0.15421017,0.015440435,0.9490474,0.0,0.6698028,0.80995286,0.92775655,0.027617332,0.8855901,0.07706313,,,,No MP Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,46,5,-0.14091405,-0.018756773,0.0,0.0,0.0,0.49666885,5.8129044e-05,0.9734644,0.61197084,0.07178012,,,,No MP Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,47,1,-0.17045602,0.029590499,0.0,0.0,0.0,0.5578349,0.0,0.9952687,0.638886,0.0,,,,No MP Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,48,1,-0.16742787,-0.09459209,0.0,0.0,0.0,0.5816335,0.0,0.9930179,0.9323449,0.16418654,,,,No MP Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,49,1,-0.15291606,-0.03876718,0.0,0.0,0.0,0.24870174,0.0,0.9953607,0.66049004,0.31280252,,,,No MP Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,50,2,-0.340201,-0.20761558,0.9560458,0.0,0.7455725,0.4261747,0.8390225,0.3091079,0.88885427,0.0,,,,No MP Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,51,1,-0.10031216,-0.0026235562,0.0,0.0,0.0,0.3550585,0.0,0.98821795,0.5119624,0.19961554,,,,No MP Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,52,1,-0.110665664,0.042054914,0.0,0.0,0.0,0.09106081,0.0,0.99502707,0.57285404,0.8836698,,,,No MP Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,53,7,-0.11989761,0.084209606,0.0,0.0,0.0,0.09268193,0.0,0.9935484,0.51932204,0.037773468,,,,No MP Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,54,1,-0.11880996,0.035421807,0.0,0.0,0.0,0.6614085,0.0,0.9861269,0.6189311,0.16917895,,,,No MP Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,55,1,-0.12409289,-0.021065112,0.0,0.0,0.0,0.21379474,0.0,0.99558735,0.9150792,0.442999,,,,No MP Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,56,1,-0.18031833,0.012663882,0.0,0.0,0.0,0.29893807,0.0,0.99558544,0.83067125,0.15304057,,,,No MP Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,57,1,-0.110368,0.032197904,0.0,0.0,0.0016008194,0.18086573,0.0,0.8172032,0.28505477,0.012547495,,,,No MP Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,58,4,-0.2745221,-0.15678556,0.7996295,0.0,0.0073185596,0.1294787,0.0,0.91201735,0.9941761,0.0010484587,,,,No MP Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
