,frame_count,emotion_index,gaze_yaw,gaze_pitch,au_shape_dim1,au_shape_dim2,au_shape_dim3,au_shape_dim4,au_shape_dim5,au_shape_dim6,au_shape_dim7,au_shape_dim8,mp_pose_yaw_deg,mp_pose_pitch_deg,mp_pose_roll_deg,detection_result,bs__neutral,bs_browDownLeft,bs_browDownRight,bs_browInnerUp,bs_browOuterUpLeft,bs_browOuterUpRight,bs_cheekPuff,bs_cheekSquintLeft,bs_cheekSquintRight,bs_eyeBlinkLeft,bs_eyeBlinkRight,bs_eyeLookDownLeft,bs_eyeLookDownRight,bs_eyeLookInLeft,bs_eyeLookInRight,bs_eyeLookOutLeft,bs_eyeLookOutRight,bs_eyeLookUpLeft,bs_eyeLookUpRight,bs_eyeSquintLeft,bs_eyeSquintRight,bs_eyeWideLeft,bs_eyeWideRight,bs_jawForward,bs_jawLeft,bs_jawOpen,bs_jawRight,bs_mouthClose,bs_mouthDimpleLeft,bs_mouthDimpleRight,bs_mouthFrownLeft,bs_mouthFrownRight,bs_mouthFunnel,bs_mouthLeft,bs_mouthLowerDownLeft,bs_mouthLowerDownRight,bs_mouthPressLeft,bs_mouthPressRight,bs_mouthPucker,bs_mouthRight,bs_mouthRollLower,bs_mouthRollUpper,bs_mouthShrugLower,bs_mouthShrugUpper,bs_mouthSmileLeft,bs_mouthSmileRight,bs_mouthStretchLeft,bs_mouthStretchRight,bs_mouthUpperUpLeft,bs_mouthUpperUpRight,bs_noseSneerLeft,bs_noseSneerRight
0,0,4,-0.36055583,-0.1454601,0.8797367,0.016796105,0.17991173,0.0,0.03057789,0.00030871856,0.18878505,0.0,,,,No MP Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,4,-0.5228303,-0.4574826,0.8421011,0.0052141743,0.09722365,0.0,6.9763824e-05,0.0,0.56617093,0.007519972,-6.716868945479713,-4.1734641580441,-3.876108802320251,Extracted Data,2.4275307168863947e-06,0.013078604824841022,0.5928636789321899,0.006119897123426199,0.12327311187982559,0.0024065340403467417,0.00019014428835362196,5.9079127368022455e-08,1.1183460912889132e-07,0.14138175547122955,0.4020428955554962,0.018944451585412025,0.12268943339586258,0.0552278533577919,0.14062416553497314,0.08731379359960556,0.02674776501953602,0.2814822196960449,0.09639596939086914,0.30681514739990234,0.10770934820175171,0.006449352018535137,0.0007091803126968443,9.025914187077433e-05,0.0006809692713432014,0.02615128643810749,2.1603598725050688e-05,0.015417267568409443,0.022396432235836983,0.01649555191397667,3.7857294046261813e-06,4.3709378587664105e-06,0.0055887168273329735,0.0244310200214386,0.000608233327511698,0.0007004030048847198,0.05501682683825493,0.030460340902209282,0.05594455823302269,0.00018649693811312318,0.006251050624996424,0.029213890433311462,0.007802037987858057,0.007143834140151739,0.803273618221283,0.6344965696334839,0.0012781317345798016,0.000560946180485189,0.2206227034330368,0.15280896425247192,8.16620683963265e-07,3.6778067169507267e-07
2,2,4,-0.7872691,-0.7492999,0.036806647,0.0,0.009093196,0.003183152,0.0059740907,0.0,0.967388,0.038973268,,,,No MP Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,2,-0.44104832,-0.17241953,0.6969245,0.0,0.95244694,0.422669,0.26172942,0.039189793,0.99093413,0.038886458,,,,No MP Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,2,-0.63847524,-0.40629613,0.7679703,0.0,0.8978664,0.1891313,0.010249574,0.017671145,0.99094194,0.015963024,,,,No MP Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,2,-0.3964728,-0.120196134,0.50749934,0.007122605,0.27011558,0.012740089,0.0023921526,0.023289816,0.98449373,0.01426195,,,,No MP Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,2,-0.27415055,-0.046683118,0.713089,0.03644834,0.53495234,0.0007193586,0.045674607,0.09599063,0.42505917,0.0,,,,No MP Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,4,-0.3150306,-0.05152485,0.4699433,0.07919892,0.017705195,0.000774663,0.0014620102,0.021893688,0.83904433,0.0103260195,,,,No MP Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,4,-0.2832207,-0.017913017,0.8166251,0.037014548,0.06953178,0.010334462,0.0033246723,0.016773429,0.98084724,0.0154387485,,,,No MP Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9,2,-0.6070843,-0.5035046,0.90396035,0.0,0.93002975,0.4953462,0.11185424,9.854283e-05,0.99541104,0.025390403,,,,No MP Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
