,frame_count,emotion_index,gaze_yaw,gaze_pitch,au_shape_dim1,au_shape_dim2,au_shape_dim3,au_shape_dim4,au_shape_dim5,au_shape_dim6,au_shape_dim7,au_shape_dim8,mp_pose_yaw_deg,mp_pose_pitch_deg,mp_pose_roll_deg,detection_result,bs__neutral,bs_browDownLeft,bs_browDownRight,bs_browInnerUp,bs_browOuterUpLeft,bs_browOuterUpRight,bs_cheekPuff,bs_cheekSquintLeft,bs_cheekSquintRight,bs_eyeBlinkLeft,bs_eyeBlinkRight,bs_eyeLookDownLeft,bs_eyeLookDownRight,bs_eyeLookInLeft,bs_eyeLookInRight,bs_eyeLookOutLeft,bs_eyeLookOutRight,bs_eyeLookUpLeft,bs_eyeLookUpRight,bs_eyeSquintLeft,bs_eyeSquintRight,bs_eyeWideLeft,bs_eyeWideRight,bs_jawForward,bs_jawLeft,bs_jawOpen,bs_jawRight,bs_mouthClose,bs_mouthDimpleLeft,bs_mouthDimpleRight,bs_mouthFrownLeft,bs_mouthFrownRight,bs_mouthFunnel,bs_mouthLeft,bs_mouthLowerDownLeft,bs_mouthLowerDownRight,bs_mouthPressLeft,bs_mouthPressRight,bs_mouthPucker,bs_mouthRight,bs_mouthRollLower,bs_mouthRollUpper,bs_mouthShrugLower,bs_mouthShrugUpper,bs_mouthSmileLeft,bs_mouthSmileRight,bs_mouthStretchLeft,bs_mouthStretchRight,bs_mouthUpperUpLeft,bs_mouthUpperUpRight,bs_noseSneerLeft,bs_noseSneerRight
0,0,5,-0.10473584,0.07283395,0.0144684315,0.0,0.99781704,0.005227091,0.014811359,0.0,0.28646466,0.027546138,-0.8479508687185908,1.493322374049054,-8.68934000468995,Extracted Data,5.49206845334993e-07,0.0009031968074850738,0.00132276420481503,0.37222743034362793,0.35928967595100403,0.19965696334838867,1.4771445421501994e-05,6.032345822859497e-07,1.9358127190116647e-07,0.09980538487434387,0.0525059774518013,0.17150521278381348,0.18883836269378662,0.10927827656269073,0.050529561936855316,0.034859854727983475,0.08147280663251877,0.0588652677834034,0.05665724724531174,0.5115028619766235,0.41547173261642456,0.009739064611494541,0.011984828859567642,5.414398037828505e-05,0.007146083749830723,0.024899903684854507,5.032999251852743e-05,0.0015189151745289564,0.0030214281287044287,0.00016188395966310054,0.001773250405676663,0.002496673259884119,0.005569100379943848,0.007420663256198168,0.0013943983940407634,0.0015454936074092984,0.0062051196582615376,0.0019524244125932455,0.2090865671634674,9.395826782565564e-05,0.013511724770069122,0.005823315121233463,0.009966335259377956,0.018879836425185204,2.807651981129311e-05,8.017796062631533e-06,0.001228989101946354,0.0007548803696408868,0.0005629875813610852,0.0002934386138804257,2.396559693806921e-06,6.865555519652844e-07
1,1,5,-0.121348515,0.084477,0.02986339,0.002208125,0.9970178,0.0,3.0536565e-05,0.0,0.04296574,0.0041394886,-0.580741943407691,1.4164977802967256,-6.483574466954946,Extracted Data,6.307300850494357e-07,0.0006985025247558951,0.0007133441977202892,0.40439373254776,0.44634097814559937,0.2924811840057373,1.3142880561645143e-05,7.840044418117031e-07,2.0855668481090106e-07,0.1154312863945961,0.05363735184073448,0.170266255736351,0.18282181024551392,0.11375689506530762,0.04288952425122261,0.02978535182774067,0.1129872277379036,0.05723036825656891,0.05904969200491905,0.4757852852344513,0.4170376658439636,0.007941126823425293,0.012228223495185375,5.348316335584968e-05,0.005202922038733959,0.015251406468451023,4.695346069638617e-05,0.0011530261253938079,0.00293048401363194,0.0001085117255570367,0.0032040500082075596,0.0047871386632323265,0.006089181173592806,0.004643419291824102,0.001014064997434616,0.0014557732501998544,0.0060539692640304565,0.0013437228044494987,0.3638506233692169,0.00016185123240575194,0.012593075633049011,0.002932109171524644,0.014757157303392887,0.02318519540131092,2.550876888562925e-05,6.605919679714134e-06,0.0013975929468870163,0.0011160854483023286,0.0004600282700266689,0.0002303977671544999,3.210639079043176e-06,7.671069397474639e-07
2,2,5,-0.13138178,0.06559463,0.019389357,0.0,0.9977584,0.0005667993,0.0004021012,0.0,0.13194901,0.005918427,-0.4776506639419031,1.0728332243876013,-5.798002475740493,Extracted Data,5.546900752051442e-07,0.001021609641611576,0.0012772291665896773,0.35792437195777893,0.3553880453109741,0.21202212572097778,1.0617350199026987e-05,5.445738224807428e-07,2.0869792649591545e-07,0.09466846287250519,0.034524064511060715,0.12228430807590485,0.1330050379037857,0.09934058785438538,0.059436481446027756,0.042463477700948715,0.06449073553085327,0.07707434147596359,0.0795733705163002,0.5071384906768799,0.3073855936527252,0.009689323604106903,0.016111548990011215,6.251555169001222e-05,0.004316919017583132,0.008919840678572655,3.232455492252484e-05,0.0008722104248590767,0.002877306891605258,0.0001244873128598556,0.0022814113181084394,0.0033105737529695034,0.00812498852610588,0.007106373552232981,0.0007968936115503311,0.0010244654258713126,0.0056230854243040085,0.0013418191811069846,0.3397648334503174,0.00012141885963501409,0.005653798580169678,0.00220279349014163,0.007930385880172253,0.020272403955459595,5.504353975993581e-05,1.6193696865229867e-05,0.00194072094745934,0.0013620342360809445,0.00046261746319942176,0.00023836756008677185,3.904980985680595e-06,6.207218348208698e-07
3,3,5,-0.092823654,0.076815344,0.0,0.0,0.9989644,0.0,0.0010188278,0.0,0.00866374,0.013846578,-0.3987234873424513,0.6187368248140239,-3.913867636374479,Extracted Data,8.206014854295063e-07,0.001036002766340971,0.0013276688987389207,0.2616422474384308,0.418452650308609,0.22333240509033203,1.054339918482583e-05,7.921348128547834e-07,2.485260495177499e-07,0.1175963506102562,0.0673171803355217,0.16736985743045807,0.17990434169769287,0.08362633734941483,0.06807450950145721,0.05203454568982124,0.05658160150051117,0.055016133934259415,0.057673487812280655,0.48693525791168213,0.4157150983810425,0.0071777342818677425,0.00902006309479475,5.564047023653984e-05,0.0045862989500164986,0.009004526771605015,3.339144677738659e-05,0.000925969157833606,0.003262418322265148,8.264141069957986e-05,0.004727752413600683,0.0077194469049572945,0.007505378685891628,0.0048209442757070065,0.0005797296762466431,0.0010707165347412229,0.006590030621737242,0.0010437329765409231,0.3966416120529175,0.00017342984210699797,0.008232086896896362,0.0019843659829348326,0.01637827791273594,0.03447248786687851,4.217186142341234e-05,1.0781163837236818e-05,0.0017363058868795633,0.0019912489224225283,0.0005331988795660436,0.00026545749278739095,4.977186108590104e-06,8.988929494080367e-07
4,4,5,-0.0898195,0.09141364,0.00219885,0.0,0.9993417,0.0,0.00011792097,0.0,0.19903305,0.051110215,-0.4580148000724148,0.7387963582825918,-2.5255799640245993,Extracted Data,1.2334340908637387e-06,0.0018576389411464334,0.002052899217233062,0.17713230848312378,0.3773750364780426,0.18894298374652863,1.231179885508027e-05,9.373671332468803e-07,3.2355040957554593e-07,0.13474129140377045,0.06199250742793083,0.15090247988700867,0.1606501191854477,0.06447024643421173,0.08106505870819092,0.06694445013999939,0.04512212425470352,0.06080952659249306,0.06647112220525742,0.5051360130310059,0.40605220198631287,0.006040228996425867,0.008550779893994331,7.243756408570334e-05,0.004888816736638546,0.01113321352750063,3.0122249881969765e-05,0.000992492539808154,0.0028425012715160847,7.04267222317867e-05,0.010617460124194622,0.02008851058781147,0.008464287966489792,0.00566280959174037,0.0007933842716738582,0.0014403604436665773,0.006834333762526512,0.0014454721240326762,0.24557790160179138,8.951786003308371e-05,0.0078024850226938725,0.0019303298322483897,0.01363114733248949,0.04358944296836853,6.80374214425683e-05,2.1383928469731472e-05,0.002125991741195321,0.005380725953727961,0.0007427138043567538,0.00038927028072066605,5.1837973842339125e-06,1.501908400314278e-06
5,5,5,-0.10680775,0.047984947,0.009697605,0.0,0.9990858,0.0,4.1062354e-05,0.0,0.29257515,0.06905735,-0.5819109656328395,0.4577370399786489,-2.3840717037193233,Extracted Data,1.207868876917928e-06,0.001931105158291757,0.0018305855337530375,0.20282496511936188,0.3596431314945221,0.2366262972354889,1.374238490825519e-05,8.81662401752692e-07,2.897473052598798e-07,0.0988147035241127,0.05161479488015175,0.13938671350479126,0.15900951623916626,0.05287492275238037,0.09131406247615814,0.07982229441404343,0.03741055727005005,0.06052755191922188,0.06128605827689171,0.48138028383255005,0.3589029014110565,0.008004444651305676,0.00939292274415493,6.305103306658566e-05,0.005242674145847559,0.014456268399953842,3.585500599001534e-05,0.0009974953718483448,0.0029667033813893795,7.924437522888184e-05,0.005589066073298454,0.010065184906125069,0.012225562706589699,0.006654504686594009,0.0009311868925578892,0.0017374559538438916,0.00563653651624918,0.0011935409856960177,0.3123895227909088,8.61700827954337e-05,0.008123794570565224,0.002116511110216379,0.014135206118226051,0.05013478174805641,5.178320861887187e-05,1.5631067071808502e-05,0.001450141309760511,0.003255570540204644,0.0011191436788067222,0.0005978220724500716,4.7536423153360374e-06,1.2508152167356457e-06
6,6,5,-0.09467817,0.043883022,0.015023884,0.0002876175,0.9983341,0.0,5.054011e-05,0.0,0.053950764,0.048681743,-0.595411049000009,0.3909986012056443,-2.7235226244244344,Extracted Data,8.319928497257933e-07,0.000530584598891437,0.0005743094952777028,0.4089532792568207,0.49612775444984436,0.334800124168396,1.374252860841807e-05,9.832831437961431e-07,3.5564693234846345e-07,0.06402482092380524,0.019753815606236458,0.09062616527080536,0.09610940515995026,0.0785703957080841,0.07743783295154572,0.05990706756711006,0.04082062840461731,0.09266620874404907,0.1070878803730011,0.44003453850746155,0.3299252986907959,0.010968051850795746,0.02941564843058586,6.774815847165883e-05,0.003620575647801161,0.013992569409310818,6.133165879873559e-05,0.0012963155750185251,0.004832855425775051,9.395459346706048e-05,0.001686031580902636,0.0030157093424350023,0.012271720916032791,0.0032950397580862045,0.001000428688712418,0.0023162078578025103,0.008404540829360485,0.000980782206170261,0.4483358860015869,0.0003293711633887142,0.00685546500608325,0.002501752693206072,0.008708687499165535,0.026964057236909866,5.128112024976872e-05,1.3465923075273167e-05,0.0012191927526146173,0.0020205967593938112,0.0005723291542381048,0.0002715561422519386,5.32253443452646e-06,7.785445745867037e-07
7,7,5,-0.12073425,0.05643039,0.011791421,0.0,0.99779683,0.0,2.5962216e-05,0.0,0.025019059,0.056173958,-0.651788927243334,0.42033852122927284,-1.5385502890270777,Extracted Data,1.2168746934548835e-06,0.0006557310116477311,0.0006451276713050902,0.35773542523384094,0.49113428592681885,0.35254067182540894,1.8383820133749396e-05,1.101785642276809e-06,5.297238203638699e-07,0.0538925975561142,0.017795151099562645,0.08882493525743484,0.09837827831506729,0.07241920381784439,0.0785316675901413,0.06292819231748581,0.03977073356509209,0.08954858779907227,0.09973307698965073,0.4491586685180664,0.26852360367774963,0.012840723618865013,0.029025178402662277,6.867899355711415e-05,0.0052238632924854755,0.020621441304683685,6.86989733367227e-05,0.0013291978975757957,0.008878426626324654,6.659911741735414e-05,0.0021267596166580915,0.004226043354719877,0.013308188877999783,0.006095432676374912,0.0012395728845149279,0.0037501868791878223,0.009838920086622238,0.0007650156039744616,0.4293786883354187,0.00015506292402278632,0.011304834857583046,0.0035025414545089006,0.012993758544325829,0.038828324526548386,3.734168421942741e-05,7.891241693869233e-06,0.0009102693875320256,0.001981819747015834,0.0009061041637323797,0.00032013101736083627,6.101769486122066e-06,1.0869541711144848e-06
8,8,5,-0.099373534,0.052758176,0.0038300874,0.0,0.9988658,0.0,4.7969224e-05,0.0,0.046116874,0.17128766,-0.6350215445119182,-0.04595840351725149,-1.4292418191826832,Extracted Data,8.152052828336309e-07,0.0005998236010782421,0.0005502333515323699,0.4063952565193176,0.5031434297561646,0.3653852939605713,1.1600504876696505e-05,8.134207405419147e-07,3.606864140692778e-07,0.05013483017683029,0.017583735287189484,0.09062819182872772,0.09730754792690277,0.0576988086104393,0.09071819484233856,0.07618200778961182,0.03699571639299393,0.09177274256944656,0.10829177498817444,0.40707990527153015,0.3298555016517639,0.013775764964520931,0.033497389405965805,6.856382969999686e-05,0.0035036250483244658,0.008699513971805573,4.2927746108034626e-05,0.000921511382330209,0.004785784985870123,6.828657205915079e-05,0.002176725072786212,0.004152767825871706,0.013193922117352486,0.010753460228443146,0.0007453354191966355,0.0016041764756664634,0.005823867861181498,0.0008455055649392307,0.5101784467697144,9.586618398316205e-05,0.0055671678856015205,0.001878464943729341,0.008340064436197281,0.02757948264479637,5.31899968336802e-05,1.4164403182803653e-05,0.0013733434025198221,0.002758430317044258,0.00044196247472427785,0.000192391817108728,5.255370524537284e-06,7.370514936155814e-07
9,9,5,-0.11648098,0.025890294,0.0032706878,0.0,0.9986291,0.0,4.2347572e-05,0.0,0.4113904,0.76797175,-0.22380688518842273,-0.13331736874950514,-0.7785840319053794,Extracted Data,1.0862898989216774e-06,0.0008057545637711883,0.0006319414242170751,0.3641391098499298,0.43940338492393494,0.3280034363269806,1.4742327039130032e-05,1.04437992831663e-06,3.4635010592865e-07,0.05088907852768898,0.022599168121814728,0.05614808574318886,0.06529832631349564,0.052535735070705414,0.11112912744283676,0.09715855866670609,0.023655185475945473,0.13300207257270813,0.1499931514263153,0.4746105670928955,0.3519006371498108,0.01229635626077652,0.02195102721452713,7.647925667697564e-05,0.003279241966083646,0.016734572127461433,6.47923952783458e-05,0.0008843513787724078,0.004579707980155945,0.0001035976383718662,0.002814319683238864,0.005102882161736488,0.01750757172703743,0.008958328515291214,0.0015349684981629252,0.003138855565339327,0.0051751574501395226,0.001029601669870317,0.33464115858078003,8.040748798521236e-05,0.006258676294237375,0.0023714553099125624,0.009022403508424759,0.04432917758822441,5.9294598031556234e-05,1.8713499230216257e-05,0.0012004788732156157,0.003005851525813341,0.0014958688989281654,0.000814502127468586,5.584295195149025e-06,8.887552667147247e-07
