,frame_count,emotion_index,gaze_yaw,gaze_pitch,au_shape_dim1,au_shape_dim2,au_shape_dim3,au_shape_dim4,au_shape_dim5,au_shape_dim6,au_shape_dim7,au_shape_dim8,mp_pose_yaw_deg,mp_pose_pitch_deg,mp_pose_roll_deg,detection_result,bs__neutral,bs_browDownLeft,bs_browDownRight,bs_browInnerUp,bs_browOuterUpLeft,bs_browOuterUpRight,bs_cheekPuff,bs_cheekSquintLeft,bs_cheekSquintRight,bs_eyeBlinkLeft,bs_eyeBlinkRight,bs_eyeLookDownLeft,bs_eyeLookDownRight,bs_eyeLookInLeft,bs_eyeLookInRight,bs_eyeLookOutLeft,bs_eyeLookOutRight,bs_eyeLookUpLeft,bs_eyeLookUpRight,bs_eyeSquintLeft,bs_eyeSquintRight,bs_eyeWideLeft,bs_eyeWideRight,bs_jawForward,bs_jawLeft,bs_jawOpen,bs_jawRight,bs_mouthClose,bs_mouthDimpleLeft,bs_mouthDimpleRight,bs_mouthFrownLeft,bs_mouthFrownRight,bs_mouthFunnel,bs_mouthLeft,bs_mouthLowerDownLeft,bs_mouthLowerDownRight,bs_mouthPressLeft,bs_mouthPressRight,bs_mouthPucker,bs_mouthRight,bs_mouthRollLower,bs_mouthRollUpper,bs_mouthShrugLower,bs_mouthShrugUpper,bs_mouthSmileLeft,bs_mouthSmileRight,bs_mouthStretchLeft,bs_mouthStretchRight,bs_mouthUpperUpLeft,bs_mouthUpperUpRight,bs_noseSneerLeft,bs_noseSneerRight
0,0,7,-0.18727303,0.16394503,0.0,0.0,0.0,0.06295948,0.0,0.3098588,0.10319869,0.004928628,3.633932039040704,-14.034991797981123,-1.856178334873615,Extracted Data,7.138265800676891e-07,0.0004146031569689512,0.0004060310893692076,0.5193352103233337,0.4306179881095886,0.5952026844024658,2.769901038846001e-05,6.153323965918389e-07,4.445725778623455e-07,0.46663540601730347,0.35650718212127686,0.5576646327972412,0.5518596172332764,0.018806736916303635,0.33514854311943054,0.3389156758785248,0.009341815486550331,0.014205101877450943,0.012188415043056011,0.6041580438613892,0.664880633354187,0.0016201648395508528,0.0013270722702145576,0.00015961822646204382,3.525453576003201e-05,0.00038318324368447065,0.00014798583288211375,2.8830905648646876e-05,0.00475324597209692,0.0014490183675661683,0.002495299791917205,0.0021220145281404257,0.0008745893137529492,0.010050244629383087,0.0005598498973995447,0.0008883156115189195,0.026058506220579147,0.012944314628839493,0.017358940094709396,5.815145777887665e-05,0.002018644940108061,0.000636159151326865,0.008570565842092037,0.016152601689100266,0.7174343466758728,0.6407126188278198,0.06293006241321564,0.06660623848438263,0.004956070799380541,0.00754524813964963,3.8333400880219415e-06,5.181282745070348e-07
1,1,1,-0.26073492,0.15956202,0.0,0.0,0.0,0.042205263,0.0,0.6779992,0.22520882,0.00037548988,3.4705194952196154,-16.195750093557354,-2.641750834708466,Extracted Data,6.464822490670485e-07,0.0005432858015410602,0.0005437518120743334,0.44785812497138977,0.42198845744132996,0.5884788036346436,2.453940578561742e-05,5.440946893031651e-07,4.99241366469505e-07,0.500029444694519,0.3573172688484192,0.4452382028102875,0.4377358555793762,0.013803762383759022,0.427423894405365,0.4209931194782257,0.006150887347757816,0.020820004865527153,0.021051453426480293,0.644294261932373,0.6507636308670044,0.001397895161062479,0.0014705368084833026,0.00015441961295437068,3.921190000255592e-05,0.00044260811409913003,0.0001880375057226047,3.164818917866796e-05,0.004153051879256964,0.0016878029564395547,0.001510332920588553,0.0012050045188516378,0.000963654718361795,0.004009731579571962,0.0006615165038965642,0.0009739584638737142,0.03168437257409096,0.016347862780094147,0.021567288786172867,0.0001473576994612813,0.002185392426326871,0.0007407184457406402,0.005833366885781288,0.011352158151566982,0.6873794794082642,0.6417194604873657,0.05699766427278519,0.06720057129859924,0.0020016191992908716,0.003506989683955908,4.045944933750434e-06,4.780989115715784e-07
2,2,1,-0.18856487,0.15609951,0.0,0.0,0.0,0.01880972,0.0,0.4089315,0.06911738,0.003207137,2.7398011777213624,-16.936229477510146,-2.974792196560053,Extracted Data,7.902484639998875e-07,0.0004943369422107935,0.0005240369355306029,0.4203389286994934,0.4878374934196472,0.6554847955703735,2.892332304327283e-05,6.781190222682199e-07,6.058584176571458e-07,0.3787239193916321,0.25392499566078186,0.35810384154319763,0.32518768310546875,0.008643316105008125,0.49516308307647705,0.4921506643295288,0.006037988234311342,0.028857573866844177,0.032679472118616104,0.5348613858222961,0.676156759262085,0.002148441271856427,0.002595150377601385,0.00015448751219082624,4.595716382027604e-05,0.0007031493005342782,0.00024237674369942397,6.036347622284666e-05,0.003404784481972456,0.0010908243712037802,0.001231642090715468,0.001009196974337101,0.0010159292723983526,0.004634574521332979,0.0006888447096571326,0.0010965958936139941,0.035875581204891205,0.015644052997231483,0.02029336802661419,0.00013734378444496542,0.002670260379090905,0.0010810642270371318,0.005623829551041126,0.010416440665721893,0.7833296656608582,0.7284649610519409,0.06979630142450333,0.06122656911611557,0.001925553078763187,0.0033542998135089874,2.9078612442390295e-06,5.963175908618723e-07
3,3,1,-0.1488652,0.15819463,0.0,0.0,0.0,0.0036312002,0.0,0.37342972,0.05971822,0.0021118938,2.182569811700977,-18.231406836447317,-3.053220032676452,Extracted Data,8.345397191078519e-07,0.0004216858360450715,0.0005629902589134872,0.4045999050140381,0.47326627373695374,0.6522973775863647,2.7920907086809166e-05,8.469796739518642e-07,5.75696105897805e-07,0.31922900676727295,0.21118098497390747,0.319844514131546,0.29333141446113586,0.006790272891521454,0.52928626537323,0.5279144048690796,0.0056723784655332565,0.031056717038154602,0.03352224454283714,0.4895532429218292,0.5839709043502808,0.0026996226515620947,0.0032233407255262136,0.0001282201410504058,6.077054422348738e-05,0.0007700257701799273,0.0002258547901874408,8.7065200204961e-05,0.0019181374227628112,0.001090073841623962,0.0012816289672628045,0.0009673882159404457,0.0012268387945368886,0.0027651621494442225,0.0005180762964300811,0.0007685767486691475,0.03310854360461235,0.014764854684472084,0.02947068400681019,0.00030820639221929014,0.0032113760244101286,0.0008485759026370943,0.00818973034620285,0.01612078957259655,0.7672311067581177,0.7133986353874207,0.072097547352314,0.04454107582569122,0.001552589819766581,0.0028163762763142586,2.882064336517942e-06,5.902910515942494e-07
4,4,1,-0.15139425,0.034121864,0.0,0.0,0.0,0.015205575,0.0,0.4933842,0.04480327,0.0016229815,1.108001355939349,-17.9683249212043,-3.112364375409413,Extracted Data,8.159029789567285e-07,0.0005469577154144645,0.0003251276211813092,0.48290157318115234,0.40228158235549927,0.6957804560661316,2.8983431548113003e-05,7.325903084165475e-07,4.617311617494124e-07,0.27913618087768555,0.16628429293632507,0.1599591076374054,0.1481766402721405,0.004597809631377459,0.5876148343086243,0.5852938890457153,0.004310877062380314,0.07096416503190994,0.07578533887863159,0.5908163785934448,0.625887393951416,0.003032875480130315,0.0038431223947554827,0.00015333924966398627,4.691317371907644e-05,0.0009039539145305753,0.00022322620498016477,9.59083263296634e-05,0.0015483277384191751,0.0010056793689727783,0.001466250279918313,0.0011105415178462863,0.0014119402039796114,0.005501063074916601,0.0007513750460930169,0.0008480156539008021,0.01747482642531395,0.01157790794968605,0.026995062828063965,0.00010396767174825072,0.002624273533001542,0.0009572730050422251,0.004605497699230909,0.011265797540545464,0.7232617139816284,0.7068580389022827,0.09135609120130539,0.06043495237827301,0.0015753523912280798,0.0033165353816002607,2.180732280976372e-06,4.771528665514779e-07
5,5,1,-0.1652649,0.015902383,0.0,0.0,0.0,0.0041308356,0.0,0.57500136,0.03183826,0.0,0.24196253237606746,-17.222510013905993,-2.066326036724492,Extracted Data,1.1516863196447957e-06,0.00020451666205190122,0.00031021368340589106,0.5353321433067322,0.5559991002082825,0.7165567278862,3.750971154659055e-05,9.04789430933306e-07,5.690286570825265e-07,0.24280928075313568,0.1950143724679947,0.16648927330970764,0.1730196475982666,0.003303571604192257,0.5957560539245605,0.5886106491088867,0.00540790893137455,0.06443820893764496,0.06082751229405403,0.5483149290084839,0.540819525718689,0.0037474711425602436,0.0031032529659569263,0.0001282701559830457,9.352239430882037e-05,0.0011767419055104256,0.00018395007646176964,0.00020958454115316272,0.0011633759131655097,0.0006922510801814497,0.0010284528834745288,0.0007650494226254523,0.0016405750066041946,0.004612480290234089,0.00038631175993941724,0.0005449799937196076,0.022492723539471626,0.010854938067495823,0.04099266231060028,0.00023568594770040363,0.0028365340549498796,0.0009383417782373726,0.007475689984858036,0.01816190406680107,0.7570191621780396,0.7038559317588806,0.08020874857902527,0.050241123884916306,0.00137501978315413,0.002513471059501171,2.4546395707147894e-06,5.659610451402841e-07
6,6,1,-0.15831597,0.04941031,0.0,0.0,0.0,0.0011088643,0.0,0.39442593,0.023096029,0.0,-0.8671500632352117,-16.15114050455607,-1.1182974325710908,Extracted Data,1.2116346397306188e-06,0.00017897351062856615,0.0002916187804657966,0.5417666435241699,0.5528849959373474,0.714643120765686,4.38441893493291e-05,1.0441101494507166e-06,6.099526217440143e-07,0.1914990097284317,0.16175027191638947,0.1839371770620346,0.20836925506591797,0.00400799373164773,0.5446330904960632,0.5351128578186035,0.0066345976665616035,0.05791148543357849,0.04762115329504013,0.5777760148048401,0.46293801069259644,0.005145224742591381,0.004106676671653986,0.00012638862244784832,0.0001134891645051539,0.0012736280914396048,0.00015768656157888472,0.00021322413522284478,0.001091441255994141,0.0008537852554582059,0.0016874399734660983,0.0012299100635573268,0.0014465422136709094,0.005135431420058012,0.00037672894541174173,0.0004941014340147376,0.019905107095837593,0.01167997345328331,0.03508956730365753,0.00018979053129442036,0.004072587471455336,0.0009650536230765283,0.010600419715046883,0.021185671910643578,0.7267587184906006,0.6855521202087402,0.06910060346126556,0.04393969848752022,0.0013596599455922842,0.0024465329479426146,2.315014626219636e-06,6.723332148794725e-07
7,7,1,-0.15656722,0.077911586,0.0,0.0,0.0,0.004667623,0.0,0.77875876,0.07126425,0.0014569558,-1.0504997084886714,-16.113504599425315,-0.47951296281684236,Extracted Data,1.0684536846383708e-06,0.0002067360474029556,0.000214750092709437,0.5723042488098145,0.5114232301712036,0.7471189498901367,4.5579545258078724e-05,1.0921527291429811e-06,6.443869438044203e-07,0.17053158581256866,0.15632879734039307,0.12870393693447113,0.16690483689308167,0.004213422536849976,0.575049638748169,0.5638101100921631,0.005118359811604023,0.08469442278146744,0.060968298465013504,0.6301477551460266,0.4473697245121002,0.005822989623993635,0.0045897155068814754,0.0001537172356620431,8.853487088344991e-05,0.0011444102274253964,0.00015575956786051393,0.0001546503626741469,0.0010879673063755035,0.000803872593678534,0.0026153975632041693,0.001941703143529594,0.0018406275194138288,0.011372746899724007,0.0005277826567180455,0.0006288124714046717,0.013134150765836239,0.010199319571256638,0.03336168825626373,6.369804032146931e-05,0.003061435418203473,0.0008044718415476382,0.00855642557144165,0.020178718492388725,0.7218801379203796,0.7039296627044678,0.11930227279663086,0.07700522243976593,0.0024663186632096767,0.004540713969618082,2.729657353484072e-06,5.771847781943507e-07
8,8,1,-0.15989085,0.12106745,0.0,0.0,0.0,0.0014588399,0.0,0.5475534,0.036680643,0.0,-0.9350847366176932,-15.702261040104936,0.6554968065322706,Extracted Data,9.132669447353692e-07,0.00025465458747930825,0.00040244997944682837,0.41321077942848206,0.5075574517250061,0.6860220432281494,4.060348146595061e-05,1.3297295708980528e-06,5.615755185317539e-07,0.1637992113828659,0.17493271827697754,0.13138777017593384,0.1674623191356659,0.005138426087796688,0.5578384399414062,0.5423882007598877,0.005330976564437151,0.08553657680749893,0.06414361298084259,0.6235608458518982,0.4530344307422638,0.005511367227882147,0.004598062019795179,0.00016105441318359226,7.724379247520119e-05,0.0009158554603345692,0.00012423838779795915,0.0001318690920015797,0.0008512105559930205,0.0006616328028030694,0.0030449037440121174,0.0023378077894449234,0.0036464394070208073,0.005828822962939739,0.0005660482565872371,0.0007381271570920944,0.009918669238686562,0.006919249892234802,0.07727843523025513,0.00014139678387437016,0.001490580616518855,0.0003067026846110821,0.008556199260056019,0.02690446376800537,0.7719681262969971,0.7375250458717346,0.13951686024665833,0.09206579625606537,0.004674393683671951,0.008289497345685959,3.6817514228459913e-06,6.130802034931548e-07
9,9,1,-0.13121265,0.08146722,0.0,0.0,0.0,0.0067519145,0.0,0.6072325,0.023856085,0.0,-0.39478780308708344,-17.46800759324007,-0.5051069357009672,Extracted Data,7.628471507814538e-07,0.0002857962972484529,0.0003918415168300271,0.432973176240921,0.500062108039856,0.7138923406600952,3.228770583518781e-05,9.936750302586006e-07,6.02875104505074e-07,0.19758445024490356,0.15511755645275116,0.18448984622955322,0.2131481170654297,0.007212805561721325,0.5436286926269531,0.5283697843551636,0.004650488495826721,0.05904468148946762,0.04772309213876724,0.5675164461135864,0.47854694724082947,0.004992622882127762,0.005214388947933912,0.00015991115651559085,5.115651947562583e-05,0.0005844646948389709,0.0001872213470051065,5.938604226685129e-05,0.0013611194444820285,0.0007439368055202067,0.0014968854375183582,0.0011936216615140438,0.00283801113255322,0.009355849586427212,0.0006327704177238047,0.0008336830069310963,0.013393713161349297,0.008953342214226723,0.049873121082782745,8.705564687261358e-05,0.0013986675767228007,0.00044817099114879966,0.0061205243691802025,0.023299958556890488,0.7875814437866211,0.7625402808189392,0.08623854070901871,0.07984929531812668,0.004453259985893965,0.0072566126473248005,4.46669218945317e-06,5.644894827128155e-07
