,frame_count,emotion_index,gaze_yaw,gaze_pitch,au_shape_dim1,au_shape_dim2,au_shape_dim3,au_shape_dim4,au_shape_dim5,au_shape_dim6,au_shape_dim7,au_shape_dim8,mp_pose_yaw_deg,mp_pose_pitch_deg,mp_pose_roll_deg,detection_result,bs__neutral,bs_browDownLeft,bs_browDownRight,bs_browInnerUp,bs_browOuterUpLeft,bs_browOuterUpRight,bs_cheekPuff,bs_cheekSquintLeft,bs_cheekSquintRight,bs_eyeBlinkLeft,bs_eyeBlinkRight,bs_eyeLookDownLeft,bs_eyeLookDownRight,bs_eyeLookInLeft,bs_eyeLookInRight,bs_eyeLookOutLeft,bs_eyeLookOutRight,bs_eyeLookUpLeft,bs_eyeLookUpRight,bs_eyeSquintLeft,bs_eyeSquintRight,bs_eyeWideLeft,bs_eyeWideRight,bs_jawForward,bs_jawLeft,bs_jawOpen,bs_jawRight,bs_mouthClose,bs_mouthDimpleLeft,bs_mouthDimpleRight,bs_mouthFrownLeft,bs_mouthFrownRight,bs_mouthFunnel,bs_mouthLeft,bs_mouthLowerDownLeft,bs_mouthLowerDownRight,bs_mouthPressLeft,bs_mouthPressRight,bs_mouthPucker,bs_mouthRight,bs_mouthRollLower,bs_mouthRollUpper,bs_mouthShrugLower,bs_mouthShrugUpper,bs_mouthSmileLeft,bs_mouthSmileRight,bs_mouthStretchLeft,bs_mouthStretchRight,bs_mouthUpperUpLeft,bs_mouthUpperUpRight,bs_noseSneerLeft,bs_noseSneerRight
0,0,0,-0.1369305,0.0062800106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16979980623429988,0.16079262915613293,2.9804832987876693,Extracted Data,6.429860945900145e-07,5.8332192566012964e-05,3.0313796742120758e-05,0.718101978302002,0.7501175999641418,0.7283698320388794,2.307902650500182e-05,2.7725457130145514e-07,6.539000878547085e-07,0.07990056276321411,0.03167261183261871,0.09437144547700882,0.09738698601722717,0.07214169204235077,0.14118345081806183,0.09083429723978043,0.01984950341284275,0.09872373938560486,0.09569963812828064,0.3584657609462738,0.27141129970550537,0.00962710753083229,0.021249163895845413,0.00015225005336105824,0.0016548060812056065,0.002583145396783948,1.1859301594085991e-05,0.00038908483111299574,0.04593387618660927,0.0007509720744565129,0.0011326299281790853,0.0017542211571708322,0.0003856538678519428,0.0055945091880857944,0.000475010194350034,0.0014504478313028812,0.2328629344701767,0.016723157837986946,0.00468851113691926,0.00015053337847348303,0.005585367325693369,0.004189411643892527,0.011181198991835117,0.004980958066880703,0.004932917654514313,0.0011731242993846536,0.006550957448780537,0.006391796749085188,0.00019430022803135216,8.923830318963155e-05,5.144236183696194e-06,4.54207309985577e-07
1,1,0,-0.12036335,0.024651043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2729597507231665,0.25294356400422546,2.807817821339007,Extracted Data,7.205162546597421e-07,5.534423689823598e-05,2.781645889626816e-05,0.7409735321998596,0.7557176947593689,0.7246272563934326,2.2304178855847567e-05,3.3286571010648913e-07,6.510508114843105e-07,0.07798752933740616,0.033921364694833755,0.09266909211874008,0.09563884884119034,0.06628375500440598,0.15501029789447784,0.10063255578279495,0.017082611098885536,0.09922678023576736,0.09583932906389236,0.34331101179122925,0.29126766324043274,0.009821356274187565,0.019587531685829163,0.00016106499242596328,0.0013351370580494404,0.002107929904013872,1.1427367098804098e-05,0.00030906088068149984,0.03481199964880943,0.000606777670327574,0.002115408191457391,0.0033161037135869265,0.00037840622826479375,0.005481483414769173,0.00047754967818036675,0.001480407314375043,0.21785666048526764,0.016974877566099167,0.004329810384660959,0.00012988521484658122,0.004964409861713648,0.0029290495440363884,0.013112075626850128,0.006742275319993496,0.005977756343781948,0.0015190584817901254,0.009079970419406891,0.010314593091607094,0.00029113265918567777,0.00014465145068243146,6.097796358517371e-06,4.961485728927073e-07
2,2,0,-0.10832192,0.013944671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1342124109365321,0.15934643767730214,2.9985038383764873,Extracted Data,6.637669116571487e-07,8.694564166944474e-05,3.860226570395753e-05,0.6898801326751709,0.7022331953048706,0.6952861547470093,2.1053972886875272e-05,2.795194689042546e-07,5.786430961052247e-07,0.07554247975349426,0.03631708770990372,0.0937986895442009,0.09894322603940964,0.05658682808279991,0.15681125223636627,0.1201401799917221,0.015840617939829826,0.09829429537057877,0.09398267418146133,0.35988685488700867,0.3054279685020447,0.009921914897859097,0.018067428842186928,0.00014604587340727448,0.0013921645004302263,0.0022220902610570192,1.1824271496152505e-05,0.0003335457877255976,0.0392344705760479,0.0006516289431601763,0.0014328885590657592,0.0022993627935647964,0.000411101063946262,0.006460948847234249,0.00046393010416068137,0.0013793829130008817,0.2077338993549347,0.0166751928627491,0.005025015212595463,0.00011249136150581762,0.0051225838251411915,0.0032028243876993656,0.011501382105052471,0.005683669354766607,0.005027815233916044,0.0012793514179065824,0.006972714327275753,0.008027778007090092,0.00020371502614580095,9.807470632949844e-05,5.29099042978487e-06,4.66379731278721e-07
3,3,0,-0.11495045,0.005989504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09344860086999227,0.3164704469164269,2.9665285265730796,Extracted Data,6.623441777264816e-07,5.579748176387511e-05,2.9147660825401545e-05,0.7372840046882629,0.764592707157135,0.7234998345375061,2.1134925191290677e-05,3.098545278135134e-07,5.795869810754084e-07,0.0828300192952156,0.03481322526931763,0.08522433042526245,0.08368506282567978,0.06268251687288284,0.12192562967538834,0.09841081500053406,0.023817777633666992,0.10830513387918472,0.11647572368383408,0.3166046738624573,0.30206599831581116,0.008610829710960388,0.01895069144666195,0.00014361547073349357,0.0010871373815461993,0.0024005931336432695,1.426181825081585e-05,0.0003557364398147911,0.03621984273195267,0.0007573370239697397,0.001582842436619103,0.0025275349617004395,0.0003386551688890904,0.005280409939587116,0.00047399435425177217,0.0012812517816200852,0.21021124720573425,0.020223943516612053,0.0040862103924155235,0.00013884634245187044,0.005918268114328384,0.0035185650922358036,0.013110285624861717,0.005749530158936977,0.005028745625168085,0.0014076203806325793,0.0072318981401622295,0.008789537474513054,0.00022101290232967585,0.00011044518032576889,4.685106432589237e-06,4.507461994762707e-07
4,4,0,-0.11830832,0.015182143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15125074524907672,0.36729644521030846,2.912441222000407,Extracted Data,6.01505405484204e-07,6.0464528360171244e-05,3.404046219657175e-05,0.711735725402832,0.7482894659042358,0.7127588987350464,2.127614243363496e-05,2.956246873964119e-07,6.040220910108474e-07,0.0794362798333168,0.034746862947940826,0.10791143029928207,0.10701768100261688,0.07763690501451492,0.11537699401378632,0.07721768319606781,0.027293557301163673,0.08519775420427322,0.08698387444019318,0.2947273254394531,0.28635963797569275,0.00913183018565178,0.01973560079932213,0.00016607744328211993,0.0012381579726934433,0.0019817245192825794,1.1411945706640836e-05,0.0002915112127084285,0.037984058260917664,0.0005785671528428793,0.001485551823861897,0.0022804448381066322,0.00043648225255310535,0.006599218584597111,0.0004648163157980889,0.0014101435663178563,0.20302285254001617,0.014885511249303818,0.005346059333533049,0.00011657089635264128,0.004435423761606216,0.0025671119801700115,0.010739538818597794,0.006170415785163641,0.006112836301326752,0.0014879897935315967,0.008537107147276402,0.007752506528049707,0.0002985060855280608,0.00013343275350052863,5.444847374747042e-06,4.513897238211939e-07
5,5,0,-0.102580674,0.0058260146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1455189632547812,0.6482256213772474,2.9343692958622234,Extracted Data,5.511497533916554e-07,3.881330121657811e-05,2.402201971563045e-05,0.753217875957489,0.7936642169952393,0.7270659804344177,1.9942672224715352e-05,2.9404137080746295e-07,4.6151626520440914e-07,0.06946177035570145,0.04293998330831528,0.07810438424348831,0.08208788931369781,0.09184112399816513,0.11453773826360703,0.06374450773000717,0.02957979589700699,0.11864049732685089,0.11132033914327621,0.3294633626937866,0.30359870195388794,0.011213286779820919,0.01550055667757988,0.00016883843636605889,0.001254393719136715,0.0018736637430265546,1.2060562767146621e-05,0.00027080276049673557,0.023471251130104065,0.0007706856704317033,0.0011150041827932,0.001583955017849803,0.0005951384664513171,0.006482815369963646,0.0004898483166471124,0.0012450910871848464,0.12912271916866302,0.015928184613585472,0.007510460447520018,0.00014587467012461275,0.003520872676745057,0.0020987980533391237,0.00988335907459259,0.007528737187385559,0.0048238481394946575,0.0015081865713000298,0.0064539918676018715,0.0073261382058262825,0.00032382310018874705,0.00017581696738488972,5.988359134789789e-06,3.702045319187164e-07
6,6,0,-0.07428964,0.009972053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05880044806560701,0.43388575079276653,2.8648358140954224,Extracted Data,5.68551854485122e-07,7.109381112968549e-05,5.3366700740298256e-05,0.6680290699005127,0.740412712097168,0.6637264490127563,1.9794802938122302e-05,2.622148826958437e-07,5.213262852521439e-07,0.08082853257656097,0.03952472284436226,0.10332361608743668,0.09829805046319962,0.07372646778821945,0.0973215326666832,0.0758877545595169,0.03594768047332764,0.09320984035730362,0.10147203505039215,0.31284037232398987,0.2967810332775116,0.009521369822323322,0.015801765024662018,0.00018290085426997393,0.0008783528464846313,0.0017033352050930262,1.234199862665264e-05,0.00025941658532246947,0.03272254765033722,0.0006913029938004911,0.0013038837350904942,0.0021244932431727648,0.0004308950447011739,0.007224246393889189,0.000473660824354738,0.0011708479141816497,0.1639673262834549,0.021036364138126373,0.004303231835365295,9.194241283694282e-05,0.0035557325463742018,0.001978709828108549,0.008190729655325413,0.005528465379029512,0.008274481631815434,0.0027281828224658966,0.00828153919428587,0.013907899148762226,0.00024738023057579994,0.00012028114724671468,4.9069012675317936e-06,4.7068891717572114e-07
7,7,7,-0.039983153,0.049670164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09163299524302136,0.4634882984707051,2.4608007810002888,Extracted Data,6.298008088378992e-07,6.84720289427787e-05,3.593021028791554e-05,0.7207571268081665,0.7101359367370605,0.6693172454833984,2.024410423473455e-05,3.10016218918463e-07,5.344944611351821e-07,0.08805980533361435,0.039592258632183075,0.08100605756044388,0.08204565942287445,0.08709798008203506,0.09306829422712326,0.0638495609164238,0.03807271644473076,0.11513124406337738,0.11616989970207214,0.3818744421005249,0.28202024102211,0.008902009576559067,0.015063486061990261,0.00018847065803129226,0.0010707603069022298,0.001784797292202711,1.1234797966608312e-05,0.0002700848854146898,0.029451938346028328,0.0006389578920789063,0.0016378049040213227,0.002715070964768529,0.0004979061777703464,0.0057586003094911575,0.000544113980140537,0.0014582533622160554,0.14016501605510712,0.016957340762019157,0.006295636296272278,0.00011515629739733413,0.0038089752197265625,0.0016901337075978518,0.00916503556072712,0.006352975498884916,0.005732333287596703,0.0019126286497339606,0.007210101932287216,0.014242402277886868,0.00028141229995526373,0.00014458056830335408,5.85285306442529e-06,4.6091545868875983e-07
8,8,0,-0.062461898,0.0687114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2926786858318202,0.36507869618937766,1.750879065358264,Extracted Data,5.965940204077924e-07,5.93026852584444e-05,3.449333962635137e-05,0.7371073961257935,0.7360384464263916,0.6889462471008301,2.0026203856104985e-05,2.770774756299943e-07,5.726390099880518e-07,0.07894180715084076,0.03368538245558739,0.09838390350341797,0.0959259420633316,0.08596781641244888,0.0835556834936142,0.06161189824342728,0.04424789920449257,0.0962858647108078,0.10164719074964523,0.3149668574333191,0.2565101683139801,0.009563489817082882,0.018674161285161972,0.0001835008879425004,0.000944849569350481,0.0017665454652160406,1.2361069821054116e-05,0.00025647206348367035,0.03327520191669464,0.000689896522089839,0.0012963679619133472,0.002172238891944289,0.0004388520319480449,0.007076608948409557,0.0005106637254357338,0.0012957809958606958,0.16587813198566437,0.019755061715841293,0.004757487215101719,0.00010036962339654565,0.0038067339919507504,0.0021760999225080013,0.008849680423736572,0.005745625589042902,0.006707888096570969,0.0021825372241437435,0.007339101750403643,0.01342920120805502,0.0002910721814259887,0.0001430614065611735,5.235785920376657e-06,4.4418439415494504e-07
9,9,7,-0.0815731,0.054785002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5196814024572308,-0.026879460077564588,1.606386773328194,Extracted Data,8.426604267697257e-07,0.00011509459727676585,7.25702557247132e-05,0.6537048816680908,0.6532779335975647,0.6187970638275146,1.8919390640803613e-05,3.243886226300674e-07,5.967186780253542e-07,0.10105381906032562,0.038078244775533676,0.09433181583881378,0.09321994334459305,0.08301180601119995,0.09824743121862411,0.06739870458841324,0.03572416305541992,0.09378762543201447,0.09641685336828232,0.39386633038520813,0.3066374361515045,0.007491276599466801,0.01393106672912836,0.00016177055658772588,0.0006347243906930089,0.0013802292523905635,1.3168172699806746e-05,0.00019972093286924064,0.03558102995157242,0.0005501583218574524,0.002324802102521062,0.003986357245594263,0.0003509915841277689,0.0072207218036055565,0.00039342683157883584,0.001051654457114637,0.1941923201084137,0.02024022676050663,0.003533393843099475,8.338607585756108e-05,0.003910209517925978,0.0014888239093124866,0.013733132742345333,0.007873671129345894,0.00875831488519907,0.002746963407844305,0.010048293508589268,0.019423864781856537,0.00045002959086559713,0.00022502832871396095,5.959161626378773e-06,5.427291398518719e-07
